text,Ravi,Niranjana,Priya,
Nawaz Sharif says India wants to hurt Pakistan tourism industry by attacking terrorist camps in Pakistan http://www. fakingnews.firstpost.com/politics/surgi cal-strikes-india-pakistan-nawaz-sharif-narendra-modi-17624 … #Re,,,Yes,o
Will not ban the film 'Dhoni' if the climax shows Misbah hitting a six to win 2007 World Cup: Pakistan http://www. fakingnews.firstpost.com/entertainment/ will-not-ban-film-dhoni-climax-shows-misbah-hitting-six-win-2007-world-cup-pakistan-17619 … #Re,,,Yes,
"थोड़ी देर के लिए बाइक ले जाकर, टंकी खाली करके लौटाने वालों को होगी 5 साल की जेल http:// hindi.fakingnews.firstpost.com/society/who-bo rrowed-bike-and-return-with-empty-tank-will-be-jailed-2378 … from @hindifakingnews",,,,
"Pakistan promises crack down on terror. Says Hafiz Saeed won't be allowed to hold rallies openly now, will be asked to book conference halls",,,Yes,
FB wall: Nawaz Sharif's Facebook wall after the surgical strikes by India http://www. fakingnews.firstpost.com/pics/fb-wall-n awaz-sharifs-facebook-wall-surgical-strikes-india-17627 …,,,No,
"दादर से विरार लोकल में चढ़ा युवक बोरीवली में सकुशल उतरा, राष्ट्रपति करेंगे सम्मानित http:// hindi.fakingnews.firstpost.com/india/guy-succ essfully-deboarded-at-boriwali-from-virar-local-2384 … from @hindifakingnews",,,,
Nawaz Sharif says India wants to hurt Pakistan tourism industry by attacking terrorist camps in Pakistan http://www. fakingnews.firstpost.com/politics/surgi cal-strikes-india-pakistan-nawaz-sharif-narendra-modi-17624 …,,,Yes,
"Pakistan has denied reports that India struck terrorist camps, assures everyone that all terrorist training camps inside Pakistan are safe.",,,Yes,
पति की पर्दे में हाथ पोछने की आदत से परेशान पत्नी ने पूरे घर में टाँगी टॉवल http:// hindi.fakingnews.firstpost.com/snippets/wife- annoyed-with-husband-towel-bedsheet-curtains-2385 … from @hindifakingnews,,,,
Will not ban the film 'Dhoni' if the climax shows Misbah hitting a six to win 2007 World Cup: Pakistan http://www. fakingnews.firstpost.com/entertainment/ will-not-ban-film-dhoni-climax-shows-misbah-hitting-six-win-2007-world-cup-pakistan-17619 …,,,,
Company serving inedible food in office canteen to reduce the time employees spend eating http://www. fakingnews.firstpost.com/india/company- serving-inedible-food-office-canteen-reduce-time-employees-spend-eating-17615 … #Re,,,Yes,
"We are not small hearted like India, won't send Dawood back as response to return of Pak artists: Nawaz Sharif http://www. fakingnews.firstpost.com/world/not-smal l-hearted-like-india-will-not-send-dawood-back-response-return-pakistani-artists-bollywood-nawaz-sharif-17612 … #Re",,,Yes,
"To compensate for boycott by India, Bangladesh, Bhutan, Pakistan invites ISIS, Al Qaeda,Taliban for SAARC summit http://www. fakingnews.firstpost.com/politics/saarc -narendra-modi-bhutan-bangladesh-pakistan-17609 … #Re",,,Yes,
"शॉपिंग वेबसाइट पर सर्च की हुई चीज़ को हर जगह देखकर डरी युवती, सोचा- कोई मुझ पे नज़र रख रहा है http:// hindi.fakingnews.firstpost.com/snippets/shopp ing-websites-stalking-woman-files-complain-2359 …",,,,
Company serving inedible food in office canteen to reduce the time employees spend eating http://www. fakingnews.firstpost.com/india/company- serving-inedible-food-office-canteen-reduce-time-employees-spend-eating-17615 …,,,Yes,
"बांगर सीमेंट' वाले अंग्रेज़ दादा जी का सर फूटा, दीवार की मजबूती चेक करते समय हुआ हादसा http:// hindi.fakingnews.firstpost.com/business/bangu r-cement-white-old-man-injured-checking-wall-strength-2358 … from @hindifakingnews",,,,
"जूतों के लगातार निशाना चूकने से निराश हैं अभिनव बिंद्रा, अपनी शूटिंग रेंज में देंगे युवाओं को ट्रेनिंग http:// hindi.fakingnews.firstpost.com/india/abhinav- bindra-disappointed-over-missed-shoe-attacks-2342 …",,,,
"We are not small hearted like India, won't send Dawood back as a response to return of Pak artists: Nawaz Sharif http://www. fakingnews.firstpost.com/world/not-smal l-hearted-like-india-will-not-send-dawood-back-response-return-pakistani-artists-bollywood-nawaz-sharif-17612 …",,,No,
कश्मीर में फेंके गए पत्थरों से ही बनाया जाएगा सिन्धु नदी पर डैम: राजनाथ सिंह http:// hindi.fakingnews.firstpost.com/india/dam-will -be-built-on-sindhu-river-by-stones-pelted-in-kashmir-2340 … from @hindifakingnews,,,,
"To compensate for boycott by India, Bangladesh and Bhutan, Pakistan invites ISIS, Al Qaeda,Taliban for SAARC summit http://www. fakingnews.firstpost.com/politics/saarc -narendra-modi-bhutan-bangladesh-pakistan-17609 …",,,,
Pakistan government refuses to construct a damn to control flow of terrorists to India http://www. fakingnews.firstpost.com/politics/pakis tan-government-refuses-construct-damn-control-flow-terrorists-india-17604 … by @manithan34 #Re,,,Yes,
Pak army's strength less than the employees sitting on bench of Indian IT companies: Report http://www. fakingnews.firstpost.com/world/pakistan -armys-strength-less-employees-sitting-bench-indian-companies-report-17601 … #re,,,Yes,
Man checking pockets of all his clothes to find some money to see him through month end http://www. fakingnews.firstpost.com/india/man-chec king-pockets-clothes-find-money-see-month-end-17598 … #Re,,,Yes,
"राफेल जेट खरीदने के बाद मनोहर पर्रीकर की नज़र अब ट्विटर पर, आधे रेट में सौदा पटने की उम्मीद http:// hindi.fakingnews.firstpost.com/business/manoh ar-parrikar-now-eyes-on-twitter-2324 … from @hindifakingnews",,,,
Pakistan government refuses to construct a damn to control flow of terrorists to India http://www. fakingnews.firstpost.com/politics/pakis tan-government-refuses-construct-damn-control-flow-terrorists-india-17604 … by @manithan34,,,Yes,
"फेसबुक रिमाइंडर के बाद भी युवक को विश करना भूला दोस्त, परेशान युवक पहुँचा दोस्त के घर http:// hindi.fakingnews.firstpost.com/social-media/f acebook-reminder-wish-friend-1336 … from @hindifakingnews",,,,
"राज ठाकरे के घर से बरामद हुआ पाकिस्तानी एक्टर, राज ने सफ़ाई दी- 'मुझे नहीं पता ये कहां से घुस गया"" http:// hindi.fakingnews.firstpost.com/india/pakistan i-actor-recovered-from-raj-thackeray-house-2329 … - @HindiFakingNews",,,,
Pak army's strength less than the employees sitting on bench of Indian IT companies: Report http://www. fakingnews.firstpost.com/world/pakistan -armys-strength-less-employees-sitting-bench-indian-companies-report-17601 … (by @mahawarsameer ),,,,
Man checking pockets of all his clothes to find some money to see him through month end http://www. fakingnews.firstpost.com/india/man-chec king-pockets-clothes-find-money-see-month-end-17598 …,,,,
"शादी में मिले तोहफों को OLX पर बेचते पकड़ा रिश्तेदारों ने, व्हॉट्सैप फैमिली ग्रुप से निकाला http:// hindi.fakingnews.firstpost.com/society/marrie d-couple-uploads-wedding-gifts-olx-caught-red-handed-2305 … from @hindifakingnews",,,,
"Nawaz Sharif to bring water and blood in UN assembly, says he will prove that water and blood can flow together http://www. fakingnews.firstpost.com/world/nawaz-sh arif-bring-water-blood-un-assembly-says-will-prove-water-blood-can-flow-together-17595 … #Re",,,Yes,
Stop inviting Pakistani Panelists on Newshour debate: MNS warns Arnab http://www. fakingnews.firstpost.com/media/stop-inv iting-pakistani-panelists-newshour-debate-mns-warns-arnab-17590 … #re,,,No,
"Inspired by various flavored products, airlines introduces flavored premium seats http://www. fakingnews.firstpost.com/india/inspired -various-flavored-products-airlines-introduces-flavored-premium-seats-17587 … #Re",,,Yes,
वीडियोः मुलायम ने सबके सामने कैसे झाड़ा अखिलेश यादव को http:// hindi.fakingnews.firstpost.com/vids/mulayam-s colds-akhilesh-yadav-again-2315 … from @hindifakingnews,,,,
"Nawaz Sharif to bring water and blood in UN assembly, says he will prove that water and blood can flow together http://www. fakingnews.firstpost.com/world/nawaz-sh arif-bring-water-blood-un-assembly-says-will-prove-water-blood-can-flow-together-17595 …",,,,
"पीएम मोदी ने अब पाकिस्तान के लोगों से कहा- ""ग़रीबी ख़त्म करनी है तो जन-धन योजना में खाता खुलवाओ"" http:// hindi.fakingnews.firstpost.com/india/pm-modi- asks-pak-citizens-to-open-jan-dhan-account-2303 … - @hindifakingnews",,,,
"MNS का 48 घंटे का अल्टीमेटम ख़त्म, अब 'हिना' फ़िल्म से पाक एक्ट्रेस के सीन काटकर फिर से रिलीज करेगी http:// hindi.fakingnews.firstpost.com/india/mns-will -re-release-hina-after-cutting-all-zeba-scenes-2293 …",,,,
BREAKING: Stop inviting Pakistani Panelists on Newshour debate: MNS warns Arnab http://www. fakingnews.firstpost.com/media/stop-inv iting-pakistani-panelists-newshour-debate-mns-warns-arnab-17590 …,,,,
"Inspired by various flavored products, airlines introduces flavored premium seats http://www. fakingnews.firstpost.com/india/inspired -various-flavored-products-airlines-introduces-flavored-premium-seats-17587 …",,,,
"टॉयलेट में फोन साथ लेकर गया युवक 5 घंटे तक नहीं निकला बाहर, घरवालों ने दरवाज़ा तोड़ कर निकाला http:// hindi.fakingnews.firstpost.com/society/boy-ta kes-phone-with-him-in-the-toilet-wifi-mobile-facebook-2287 … - @hindifakingnews",,,,
"After PM Modi's speech, guy named Harshvardhan assures roommate that he isn't studying more http://www. fakingnews.firstpost.com/politics/pm-mo dis-speech-guy-named-harshvardhan-assures-roommate-isnt-studying-17584 … #Re",,,No,
"After spending five years in the company, techie meets HR for first time on his last working day http://www. fakingnews.firstpost.com/india/spending -five-years-company-techie-meets-hr-first-time-last-working-day-17581 …",,,Yes,
Engineering student develops a gadget to differentiate between roti and papad served in hostel mess http://www. fakingnews.firstpost.com/india/engineer ing-student-develops-gadget-differentiate-roti-papad-served-hostel-mess-17578 … #Re,,,Yes,
"पड़ोसी के घर में चुपके से घुसते रंगे हाथों धरे गए मुशर्रफ़, कहा 'बिना सबूत पकड़ा गया मुझे' http:// hindi.fakingnews.firstpost.com/world/musharra f-caught-trespassing-denies-asks-proof-2274 … from @hindifakingnews",,,,
"After PM Modi's speech, guy named Harshvardhan assures roommate that he isn't studying more http://www. fakingnews.firstpost.com/politics/pm-mo dis-speech-guy-named-harshvardhan-assures-roommate-isnt-studying-17584 …",,,,
"After spending five years in the company, techie meets HR for first time on his last working day http://www. fakingnews.firstpost.com/india/spending -five-years-company-techie-meets-hr-first-time-last-working-day-17581 … by @Hello_Dasu",,,,
"अल्ताफ राजा फोल्डर में पॉर्न की जगह मिले अल्ताफ राजा के गाने, दोस्त ने गुस्से में फेका लैपटॉप http:// hindi.fakingnews.firstpost.com/snippets/no-po rn-in-altaf-raja-folder-boys-throw-laptop-2271 … from @hindifakingnews",,,,
Engineering student develops a gadget to differentiate between roti and papad served in hostel mess http://www. fakingnews.firstpost.com/india/engineer ing-student-develops-gadget-differentiate-roti-papad-served-hostel-mess-17578 … by @Hello_Dasu,,,,
पीकर 'गड्डी तो तेरा भाई ही चलाएगा' नहीं कहने पर तीन दोस्तों ने चौथे दोस्त को गाड़ी से बाहर फेंका http:// hindi.fakingnews.firstpost.com/society/guy-th rown-out-for-not-saying-i-will-drive-after-drink-2252 … - @hindifakingnews,,,,
"Used to driving on bad Bengaluru roads for years, biker skids after driving on pothole free road http://www. fakingnews.firstpost.com/sponsored/used -driving-bad-bengaluru-roads-years-biker-skids-falls-driving-pothole-free-road-17553 …",,,Yes,
Nawaz Sharif's UN address wins award for 2016's best work of fiction http://www. fakingnews.firstpost.com/world/nawaz-sh arifs-un-address-wins-award-2016s-best-work-fiction-17569 …,,,Yes,
Engineering student sends friend request to Angelina Jolie after hearing about her breakup with Brad Pitt http://www. fakingnews.firstpost.com/entertainment/ engineering-student-sends-friend-request-angelina-jolie-hearing-breakup-brad-pitt-17523 …,,,Yes,
"7, RCR का नाम बदलने पर निराश हुए आडवाणी, कहा- बुढ़ापे में नया नाम रटना मुश्किल होगा http:// hindi.fakingnews.firstpost.com/politics/advan i-got-furious-over-name-changing-of-7-rcr-2209 … (via @hindifakingnews )",,,,
"दिल्ली की लड़की के बाल नहीं थे पर्मानेंट स्ट्रेट, लोगों ने दिल्लीवाला मानने से किया इन्कार http:// hindi.fakingnews.firstpost.com/snippets/hair- not-straight-non-delhiite-permanent-straightening-2210 … (via @hindifakingnews )",,,,
Pics: Strong steps Nawaz Sharif is taking against terrorism http://www. fakingnews.firstpost.com/politics/pics- strong-steps-nawaz-sharif-taking-terrorism-17539 …,,,No,
Man involved in 3 consecutive road accidents to get his city's name in the news http://www. fakingnews.firstpost.com/india/man-invo lved-3-consecutive-road-accidents-get-city-name-news-17563#…,,,Yes,
"Used to driving on bad Bengaluru roads for years, biker skids after driving on pothole free road http://www. fakingnews.firstpost.com/sponsored/used -driving-bad-bengaluru-roads-years-biker-skids-falls-driving-pothole-free-road-17553 … @JKTyreCorporate",,,Yes,
BREAKING: Nawaz Sharif's UN address wins award for 2016's best work of fiction http://www. fakingnews.firstpost.com/world/nawaz-sh arifs-un-address-wins-award-2016s-best-work-fiction-17569 … (by @bija_hem ),,,Yes,
"Friday Faking Release: Border (*ing Arnab Goswami, Maroof Raza) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-border-ing-arnab-goswami-maroof-raza-17561 … #Re",,,No,
Man leaves umbrella at home after MeT department predicts heavy rains http://www. fakingnews.firstpost.com/india/man-leav es-umbrella-home-met-department-predicts-heavy-rains-17555 … #Re,,,Yes,
Abhishek Bachachan asks Madame Tussauds to put Salman and Aishwarya’s statues in different halls http://www. fakingnews.firstpost.com/entertainment/ abhishek-bachachan-asks-madame-tussauds-put-salman-aishwaryas-statues-different-halls-17547 … from @sagarcasm #Re,,,Yes,
"मूवी थियेटर में रनिंग कामेन्टरी करने वालों को मिलेगी न्यूज़ चैनल में नौकरी, हर खबर पर नकारात्मक टिप्पणी करनी होगी http:// hindi.fakingnews.firstpost.com/snippets/runni ng-cmmentary-during-movie-hired-as-news-reporters-2244 …",,,,
"Friday Faking Release: Border (*ing Arnab Goswami, Maroof Raza) http://www. fakingnews.firstpost.com/pics/friday-fa king-release-border-ing-arnab-goswami-maroof-raza-17561 …",,,No,
Man leaves umbrella at home after MeT department predicts heavy rains http://www. fakingnews.firstpost.com/india/man-leav es-umbrella-home-met-department-predicts-heavy-rains-17555 …,,,Yes,
"इस्लामाबाद से उड़े एफ़-16 विमान अभी तक वापस नहीं लौटे, ईंधन ख़त्म होने की वजह से गिरने का शक http:// hindi.fakingnews.firstpost.com/world/f-16-fig hter-plane-gone-missing-after-take-off-from-islamabad-2238 … From @hindifakingnews",,,,
"एग्ज़ाम में बैलेंस शीट टैली होने पर नाचने लगा छात्र, टीचर ने पागल समझ क्लास से बाहर निकाला http:// hindi.fakingnews.firstpost.com/snippets/stude nt-dances-balance-sheet-tally-commerce-accounts-2230 … - @hindifakingnews",,,,
Abhishek Bachachan asks Madame Tussauds to put Salman and Aishwarya’s statues in different halls http://www. fakingnews.firstpost.com/entertainment/ abhishek-bachachan-asks-madame-tussauds-put-salman-aishwaryas-statues-different-halls-17547 … by @sagarcasm,,,,
"हार्ट सर्जरी के बाद अब कंधे की सर्जरी कराएंगे नवाज़ शरीफ़, बार-बार कश्मीर मुद्दा उठाने के कारण आई मोच http:// hindi.fakingnews.firstpost.com/world/now-nawa z-sharif-will-undergo-for-shoulder-surgery-2229 …",,,,
Strong steps Nawaz Sharif is taking against terrorism http://www. fakingnews.firstpost.com/politics/pics- strong-steps-nawaz-sharif-taking-terrorism-17539 …,,,No,
Sidhu starts a New School “Bachchaaz-e-Punjab” which will not have exams http://www. fakingnews.firstpost.com/politics/sidhu -starts-new-school-bachchaaz-e-punjab-will-not-exams-17536 … #Re,,,No,
"Inspired by Nawaz Sharif's speech against terrorism, Ku Klux Klan set to criticize racism http://www. fakingnews.firstpost.com/world/nawaz-sh arif-unga-burhan-wani-kashmir-terrorism-17532 …",,,Yes,
"दिल्ली की लड़की के बाल नहीं थे पर्मानेंट स्ट्रेट, लोगों ने दिल्लीवाला मानने से किया इन्कार http:// hindi.fakingnews.firstpost.com/snippets/hair- not-straight-non-delhiite-permanent-straightening-2210 … from @hindifakingnews",,,,
Pics: Strong steps Nawaz Sharif is taking against terrorism http://www. fakingnews.firstpost.com/politics/pics- strong-steps-nawaz-sharif-taking-terrorism-17539 …,,,No,
"7, RCR का नाम बदलने पर निराश हुए आडवाणी, कहा- बुढ़ापे में नया नाम रटना मुश्किल होगा http:// hindi.fakingnews.firstpost.com/politics/advan i-got-furious-over-name-changing-of-7-rcr-2209 … from @hindifakingnews",,,,
Sidhu starts a New School “Bachchaaz-e-Punjab” which will not have exams http://www. fakingnews.firstpost.com/politics/sidhu -starts-new-school-bachchaaz-e-punjab-will-not-exams-17536 … by @sagarcasm,,,No,
"देश के 10% समझदार लोगों की लिस्ट जारी करेंगे जस्टिस काटजू, नाम जुड़वाने के लिए मारामारी मची http:// hindi.fakingnews.firstpost.com/india/justice- katju-will-reveal-names-of-10-intelligent-people-2203 … from @hindifakingnews",,,,
"EXCLUSIVE: Inspired by Nawaz Sharif's speech against terrorism, Ku Klux Klan set to criticize racism http://www. fakingnews.firstpost.com/world/nawaz-sh arif-unga-burhan-wani-kashmir-terrorism-17532 …",,,No,
Engineering student sends friend request to Angelina Jolie after hearing about her breakup with Brad Pitt http://www. fakingnews.firstpost.com/entertainment/ engineering-student-sends-friend-request-angelina-jolie-hearing-breakup-brad-pitt-17523 … #Re,,,Yes,
Man learning Yoga to develop a flexible body to help him pass through the tight spaces in Mumbai local http://www. fakingnews.firstpost.com/india/man-lear ning-yoga-develop-flexible-body-help-pass-tight-spaces-mumbai-local-2-17529 … #Re,,,Yes,
Barack Obama thinking about Golf courses while India and Pakistan complain to him about each other http://www. fakingnews.firstpost.com/world/barack-o bama-india-pakistan-unga-uri-terrorism-17516 … #Re,,,Yes,
"डेट पर युवक के वाॅलेट से से गिरा आधार कार्ड, फोटो देखते ही भागी लड़की http:// hindi.fakingnews.firstpost.com/snippets/date- aadhar-card-beard-wallet-2196 … from @hindifakingnews",,,,
Engineering student sends friend request to Angelina Jolie after hearing about her breakup with Brad Pitt http://www. fakingnews.firstpost.com/entertainment/ engineering-student-sends-friend-request-angelina-jolie-hearing-breakup-brad-pitt-17523 …,,,Yes,
"लड़की ने किया फ्रेंडज़ोन, तो पानी पूरी वाले ने सूखी पूरी ना देकर निकाला बदला http:// hindi.fakingnews.firstpost.com/society/paani- puri-man-frienzoned-refused-to-give-sookhi-poori-2190 … from @hindifakingnews",,,,
बाइक चलाते वक़्त हैंडल छोड़ने वाले युवकों ने किया दुनिया की पहली 'driver-less bike' चलाने का दावा http:// hindi.fakingnews.firstpost.com/technology/you ths-claimed-for-first-driver-less-bike-of-world-2185 … - @hindifakingnews,,,,
Barack Obama thinking about Golf courses while India and Pakistan complain to him about each other http://www. fakingnews.firstpost.com/world/barack-o bama-india-pakistan-unga-uri-terrorism-17516 …,,,Yes,
बिहार में दारू के नाम पर करेले का जूस बेचने वाले गिरोह का भंडाफोड़ http:// hindi.fakingnews.firstpost.com/india/bihar-ga ng-arrested-for-selling-bitter-gourd-juice-in-name-of-liquor-2180 … from @hindifakingnews,,,,
Man becomes so saavdhaan after watching ‘Saavdhaan India’ that he no longer steps out of his house http://www. fakingnews.firstpost.com/entertainment/ man-becomes-saavdhaan-watching-saavdhaan-india-no-longer-steps-house-avoid-getting-murdered-17512 … #Re,,,No,
"Doctor fails to send patient for unnecessary medical test, patient doubts doctor’s credentials http://www. fakingnews.firstpost.com/society/doctor -fails-send-patient-unnecessary-medical-test-patient-doubts-doctors-credentials-17509 … #re",,,Yes,
"Since Dengue mosquito breeds in clean water, we saved Delhi from an epidemic by keeping every place dirty: MCD http://www. fakingnews.firstpost.com/india/since-de ngue-mosquito-breeds-clean-water-saved-delhi-epidemic-keeping-every-place-dirty-mcd-17505 … #Re",,,Yes,
"फेसबुक पर मोटिवेशनल पोस्ट शेयर करते-करते युवती बनी मोटिवेशनल स्पीकर, कमा रही है लाखों http:// hindi.fakingnews.firstpost.com/social-media/f acebook-motivational-speaker-earns-in-lakhs-2160 … from @hindifakingnews",,,,
"अफ़रीदी को विदाई मैच देने को तैयार हुए कई देश, बस एक शर्त रखी कि ये फ़ाइनल रिटायरमेंट होना चाहिये http:// hindi.fakingnews.firstpost.com/sports/many-co untries-ready-to-host-retirement-match-for-afridi-2171 … - @hindifakingnews",,,,
Man becomes so saavdhaan after watching ‘Saavdhaan India’ that he no longer steps out of his house http://www. fakingnews.firstpost.com/entertainment/ man-becomes-saavdhaan-watching-saavdhaan-india-no-longer-steps-house-avoid-getting-murdered-17512 …,,,No,
मुंबई लोकल में दूसरों के मोबाइल पर झांक-झांक कर युवक ने देख डालीं 100 से ज़्यादा फ़िल्में http:// hindi.fakingnews.firstpost.com/society/mumbai -local-commuter-watched-films-on-fellow-passengers-mobiles-2159 … from @hindifakingnews,,,,
"Doctor fails to send patient for unnecessary medical test, patient doubts doctor’s credentials http://www. fakingnews.firstpost.com/society/doctor -fails-send-patient-unnecessary-medical-test-patient-doubts-doctors-credentials-17509 …",,,Yes,
"बैंगलोर के ऑटोवाले ने माँगा 700 रूपये रिटर्न भाड़ा, कहा- ""आपको घर छोड़कर अपने गाँव जाऊंगा"" http:// hindi.fakingnews.firstpost.com/india/bengalur u-autowaala-demanded-700-rupees-return-fare-2153 … from @hindifakingnews",,,,
"Since Dengue mosquito breeds in clean water, we saved Delhi from an epidemic by keeping every place dirty: MCD http://www. fakingnews.firstpost.com/india/since-de ngue-mosquito-breeds-clean-water-saved-delhi-epidemic-keeping-every-place-dirty-mcd-17505 …",,,Yes,
"दस साल के बच्चे ने घर का सारा सामान नये घर में कर दिया शिफ्ट, स्कूल बैग ढोने का था अनुभव http:// hindi.fakingnews.firstpost.com/society/ten-ye ar-old-boy-shifted-all-household-items-to-new-house-2148 … from @hindifakingnews",,,,
"Like Shahid and Mira chose Misha, what will other couples name their child if they combine names http://www. fakingnews.firstpost.com/buzzpoop/just- like-shahid-and-mira-named-their-child-misha-what-will-other-celeb-couples-name-their-child-if-they-combine-their-names-17494 … by @sagarcasm #Re",,,No,
BCCI to have a mini-IPL between festivals to keep unemployed youth occupied http://www. fakingnews.firstpost.com/india/bcci-min i-ipl-festivals-keep-unemployed-youth-occupied-17490 … #re,,,Yes,
BMTC to charge extra money from people who get free shower from leaking roof of the bus http://www. fakingnews.firstpost.com/india/bmtc-cha rge-extra-money-people-get-free-shower-leaking-roof-bus-17487 … by @Hello_Dasu #Re,,,Yes,
"कैटरीना कैफ़ के घर के पास मंडराती दिखी स्मिता पाटिल की आत्मा, इलाक़ा छोड़कर जा रहे हैं लोग http:// hindi.fakingnews.firstpost.com/entertainment/ smita-patil-spirit-is-wandering-in-katrina-kaif-flat-2141 … from @hindifakingnews",,,,
"डेंगू के मच्छर दिल्ली में बनाएँगे नई पार्टी, चिकनगुनिया ने भी किया समर्थन देने का वादा http:// hindi.fakingnews.firstpost.com/india/dengue-m osquitoes-will-form-new-party-in-delhi-2133 … from @hindifakingnews",,,,
"Like Shahid and Mira chose Misha, what will other celeb couples name their child if they combine names http://www. fakingnews.firstpost.com/buzzpoop/just- like-shahid-and-mira-named-their-child-misha-what-will-other-celeb-couples-name-their-child-if-they-combine-their-names-17494 … by @sagarcasm",,,No,
BCCI to have a mini-IPL between festivals to keep unemployed youth occupied http://www. fakingnews.firstpost.com/india/bcci-min i-ipl-festivals-keep-unemployed-youth-occupied-17490 …,,,Yes,
मैथ्स में 'X' ढूँढ कर परेशान हुई बच्ची ने कराई 'X' के गुमशुदा होने की रिपोर्ट दर्ज http:// hindi.fakingnews.firstpost.com/snippets/girl- upset-over-finding-x-files-missing-complain-2136 … from @hindifakingnews,,,,
"This Winter, the Yadavs are coming pic.twitter.com/3O2FgAKqQz",,,No,
BMTC to charge extra money from people who get free shower from leaking roof of the bus http://www. fakingnews.firstpost.com/india/bmtc-cha rge-extra-money-people-get-free-shower-leaking-roof-bus-17487 … by @Hello_Dasu,,,Yes,
"कॉलोनी के अंकल जी ने की पागल कुत्ते की कड़ी निंदा, कुत्ते ने तुरंत क्षमा माँग व्यवहार सुधारा http:// hindi.fakingnews.firstpost.com/india/colony-u ncle-strongly-condemned-dogs-behaviour-2130 … from @hindifakingnews",,,,
"Man sells his ancestral home to pay donation for Nursery admission of his son, falls a little short http://www. fakingnews.firstpost.com/society/man-se lls-ancestral-home-pay-donation-nursery-admission-son-falls-little-short-17484 … #Re",,,Yes,
"Showed that we can do fight scenes even at this age,say Randhir & Rishi Kapoor on visarjan fracas http://www. fakingnews.firstpost.com/entertainment/ showed-filmmakers-can-fight-scenes-even-age-say-randhir-rishi-kapoor-visarjan-fracas-17478 … by @Hello_Dasu #Re",,,No,
"एक ही राग अलापने वाले हुर्रियत नेताओं को शास्त्रीय संगीत सिखाएगी केंद्र सरकार, ताकि दूसरे राग में भी गा सकें http:// hindi.fakingnews.firstpost.com/politics/hurri yat-neta-to-learn-classical-music-2099 …",,,,
"Man sells his ancestral home to pay donation for Nursery admission of his son, falls a little short http://www. fakingnews.firstpost.com/society/man-se lls-ancestral-home-pay-donation-nursery-admission-son-falls-little-short-17484 …",,,Yes,
स्वदेशी जीन्स पहनने वाला व्यक्ति कभी ग़लत समय पर उत्तेजित नहीं होगाः बाबा रामदेव http:// hindi.fakingnews.firstpost.com/business/baba- ramdev-says-guys-will-not-excited-improperly-in-swadeshi-jeans-2010 … from @hindifakingnews,,,,
"Modi promises strong action against Pak after Uri attack, says will attend next Nawaz birthday without gift http://www. fakingnews.firstpost.com/politics/modi- promises-strong-action-pak-uri-attack-says-will-attend-next-nawaz-birthday-without-gift-17481 …",,,Yes,
सलमान ने कहा 'ऐ दिल है मुश्किल' में रनबीर और ऐश्वर्या को साथ कास्ट करना मेरे खिलाफ साज़िश http:// hindi.fakingnews.firstpost.com/entertainment/ ae-dil-hai-mushkil-ranbeer-aishwarya-anushka-salman-2108 … from @hindifakingnews,,,,
