Tweets,,Niranjana,
I look forward to paying off all my debt so I can get back to just bring broke.,,yes,
"If age is just an attitude, I could use an attitude adjustment.",,no,
Life begins at 50. It just doesn't last as long.,,no,
"If you can't say something nice about someone, you probably work at the same place I do.",,yes,
The Wizard of Oz is the ultimate chick flick. Two women trying to kill each other over a pair of shoes.,,no,
"I don't remember much about last night, but the fact that I needed sunglasses to open the refrigerator this morning tells me it was awesome.",,yes,
No green food for me today. I get enough of that from my refrigerator.,, no,
I'm not fat. I'm just easy to see.,,no,
I don't have a problem with caffeine. I have a problem without caffeine.,,no,
"Keep rolling your eyes and maybe, one day, you'll find a brain back there.",,no,
At my age rolling out of bed is easy in the morning. Getting up off the floor is another story.,,yes,
I don't need a reason to enjoy a little wine. All I need is a glass.,,yes,
Brains are awesome. I wish everybody had one.,,yes,
My fitness goal is to weigh what I told the DMV I weigh.,,yes,
I used to think fresh air was free until I bought a bag of potato chips.,,yes,
"If it weren't for Spring Forward and Fall Back, I'd never get any exercise at all.",,yes,
Everything happens for a reason. And sometimes the reason is that you're stupid.,,yes,
I've finally decided to do something about my weight. Lie.,,no,
I can't figure out if life is passing me by or trying to run me over.,,no,
I'm having some vision trouble today. I can't see myself doing anything.,,yes,
"Mirrors don't lie. And, lucky for me, they don't laugh either.",,yes,
"When I was young, I was afraid of the dark. Now, when I get my electric bill, I'm afraid of the light.",,no,
Don't make me use UPPERCASE.,,no,
She wanted a puppy. But I didn't want a puppy. So we compromised and got a puppy.,,yes,
You can't control everything. Your hair was put on your head as a reminder of that.,,no,
"When life throws me a curveball, I try to duck so it hits someone else.",,no,
"My doctor said I should eat better. I told him, with what he charges, I'm lucky I eat at all.",,no,
I don't have a problem with friends who ask to borrow money. I love a good laugh as much as the next guy.,,no,
I know you people are crazy. I can spot my own kind a mile away.,,no,
I can only work out one part of my body at a time and usually it's my mouth.,,yes,
My wife said we should try some role reversal in bed last night. So I said I had a headache.,,no,
I don't know what I'd do without coffee. Probably 25 to life in the state penitentiary.,,yes,
Moms are like therapists who don't care if you don't have insurance.,,yes,
I never know whether to screw up my taxes myself or hire a professional to do it.,,no,
"For every action, there is a corresponding overreaction.",,no,
"I keep losing things at work... my glasses, my keys, my wallet, my will to live.",,no,
"Im not saying I'm old and worn out, but I do make sure I'm nowhere near the curb on trash day.",,no,
Don't get me started. I don't come with brakes.,,no,
I used to wonder what it was like to read people's minds. Then I got a Facebook account and I got over it.,,yes,
"It's Groundhog Day, but enough about the school lunch menu.",,yes,
"I know it's Super Bowl Sunday, but I wish everyone would stop looking at me and saying ""It's time to kick off!"";;;;""561863550298505216",,yes,
"The Super Bowl charges $150,000 per second for an ad. Who do they think they are? Lawyers?",,yes,
Don't play dumb with me. That's a game you can't win.,,yes,
"Sometimes, I question my sanity. Sometimes, it replies.",,no,
It's worse when you can't see the forest for the bears.,,no,
"The trouble with going out in the cold at my age is by the time I get all bundled up, I've forgotten where I was going.",,no,
Lying about my age is easier now that I have trouble remembering what it is.,,no,
"What would I give the woman who has everything? Well, my phone number for a start.",,yes,
"Yesterday, I went golfing and got a hole in one. Sorry about your windshield.",,no,
I used to have superpowers but the psychiatrist took them away.,,no,
"On my first day of school, my parents dropped me at the wrong nursery. There I was.. surrounded by bushes and trees.",,no,
They say your memory is the first thing to... something...,,no,
Share this if you know someone who is alive today simply because you don't want to go to prison.,,no,
Your lights are on but I see someone's been playing with your dimmer switch.,,no,
Children are a great comfort in your old age. And they help you get there faster too.,,no,
"Calendar Note: One again, we did not schedule this month's Apathetics Anonymous Meeting.",,yes,
Democracy is three wolves and one sheep voting on what to have for supper.,,no,
"There may be no excuse for laziness, but I'm still looking.",,no,
I could be a morning person. If morning started around noon.,,yes,
"The hack is over. To those who knew, thanks for the support. Now, back to the business of being (mildly) funny.",,yes,
Since my gf discovered the eyeroll and tongue sticking out emojis she doesn't have to type words anymore.,,no,
I have the Emergency Alert Warning sound set as the ringtone for when my wife calls.,,yes,
No no no No no no No no no no no no no No no No no no no No -toddler rap,,no,
I want to be something really scary for Halloween this year so I'm dressing up as a phone battery at 2%.,,no,
"It's funny, when I walk into a spider web I demolish his home and misplace his dinner yet I still feel like the victim.",,yes,
"*aliens return to ship* ALIEN LEADER: Where are the humans? ""We left them"" AL: Why? ""They didn't look anything like their selfies in rl"";;;;""780824864680730624",,no,
Told my wife I wanted our kids every other weekend and she reminded me that we're married & live together so I'd have to see them every day.,,no,
Can someone just invent a mirror that takes pictures already!,,yes,
"If you can't remember my name, just say 'donuts'. I'll turn around and look.",,no,
Just took a power nap on a park bench. Made $7.30 in change.,,no,
*dates a zombie so someone finally likes me for my brains,,yes,
Maybe if we start telling people the brain is an app they will start using it.,,yes,
"Look, if crying doesn't solve the problem, then maybe I'm just not the person you should be asking.",,no,
Apple should make a sarcasm font and call it the iRoll.,,no,
If you enjoy arguing about lunches at 6 AM I can't recommend parenting highly enough.,,no,
"I never ask my kids to call me, I just change the Netflix password and then don't respond to their texts.",,yes,
"....And on the sixth day, God created man first so that he could enjoy a few minutes on Earth without saying the wrong thing to a woman.",,yes,
"4-year-old: I love you the most. Me: Awww 4: Except Mom. Me: Understandable 4: And my sisters. Me: OK, I'm still up there 4: And dogs.",,yes,
Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! Shhh! -Librarians arguing,,no,
Too old for snapchat and too young for Life Alert.,,no,
The year is 2027. Thousands of missing women are unable to be found because they look nothing like the pictures they post on the Internet.,,no,
"I start every conversation with my employees by saying, ""I shouldn't be telling you this"" just so I know they will listen.",,no,
"When the chips are down, you can always count on me. I love chips.",,no,
"I'd like to say the best moment of a woman's life is giving birth, but it's actually seeing an old nemesis & realizing she got really fat.",,yes,
[god creating raccoons] Take a cat and make him look like he's committing crimes,,no,
Welcome to Twitter if you are not already following a mom who drinks wine one will be assigned to you,,no,
I was halfway to the state line before I realized the sirens were part of the song that was playing...,,no,
I like to think these bears were supposed to meet for lunch but one got the wrong park pic.twitter.com/OV7GCloNBv,,,
interviewer: why do you want this job me: i've just always been very passionate about not starving to death,,,
[whispering to date when a genius in a movie does math on a window pane] That looks right,,,
"On a scale of newlyweds to married 25 years, how willing are you to admit I'm right?",,,
I’ve agreed so much with my wife that my head just starts nodding at the sound of her voice.,,,
Birth control pills should come in Pez dispensers that feature a tiny baby head crying on top,,,
"Hello, you've reached 1-800-NARCISSIST, how can you help me?",,,
The biggest con job the devil ever pulled was putting ears on men,,,
It's always a good idea to make friends with babies. That's free cake once a year for a lifetime.,,,
[Year 2050] Son: why didn't you do anything to save the environment? Me: snapchat had a filter of a dog nose,,,
"PREGNANT CASHIER: Have a great day ME: Thanks, have a great baby",,,
"[first date] HER: So what do you do? ME: I make independent films HER: Oh wow, can I see one? ME: *points to my Snapchat story* Press here",,,
I asked my 2-year-old to pick between white socks & blue socks She sat on the floor & cried That kid does not perform well under pressure.,,,
Cells multiply by dividing.,,,
"If you love someone, never talk about politics.",,,
Me: Can't. I'm exhausted from all the CrossFit this morning. Him: It's pronounced 'croissant' & how the hell did you eat the entire dozen?!,,,
"I'm watching my neighbor through the blinds, he's so creepy",,,
"Son, when I was your age there was no social media. You had to go to a bar and buy endless drinks to be ignored by multiple women",,,
The difference between LA and NY is in LA it takes longer to realize the person you're listening to is insane.,,,
Things our family enjoys together without anyone complaining: 1.,,,
"Life is like a picnic: there are ants, hornets, bad potato salad, locked public bathrooms when your kid can't hold it, people, spotty cell r",,,
Well it took forever and I almost got beat up but I paid for my Taco Bell fully with all the quarters I found behind the cashier's ear.,,,
My favorite food will always be what you ordered.,,,
Nothing worries me more for future generations than the thought of me being one of their ancestors.,,,
"Bought a pair of Dockers from Kohl's for $39.99 but they were marked down from $1,599.99.",,,
Mid-life crisis? More like whole-life crisis.,,,
How many light bulbs does it take to change people?,,,
"When I said I was afraid of the dentist, I meant the bill.",,,
Owls would be so much cooler if they could also say 'are you',,,
Breaking: Man takes longer to find emoji than it would have taken him to find words that convey what he wanted.,,,
It only takes one person to ruin it for everyone. Be that person.,,,
I wasn't planning on giving Christmas gifts this year until I heard about those exploding Samsung Galaxy phones.,,,
"When I asked if you'd like to go out on a date sometime, I meant with me.",,,
Bad corporate team building exercises: The one-man trust fall,,,
My dad finally left me a voicemail where he didn't introduce himself. I think we're getting closer.,,,
"[4-year-old stomps around the house in her dress-up shoes] Me: Why are you being so loud? 4: To scare away wolves. Me: Please, continue.",,,
"Our family motto is ""Who took my phone charger?"";;;;""773962832010481664",,,
I can't decide which room not to clean first.,,,
My kid just called Child Protective Services because he still has an iPhone 5S.,,,
Useless trying to undo a mistake. Focus your efforts on new ones.,,,
WIFE: How's the ventriloquism going? ME: Not good. WIFE: But I got you that Ventriloquism For Dummies book. ME: I don't think he read it.,,,
I really hate crime but I love true crime docs so I'm at a real impasse here.,,,
HER: You never say anything romantic. ME: What about that time I wished you best of luck in the coming fiscal quarter?,,,
Hard to take women with false eyelashes seriously. It's like watching two tarantulas scream for attention.,,,
I ordered 2 venti coffees from Starbucks for myself tonight so now I'm the new face of addiction.,,,
"My life is a lot like that driver who signals right, but turns left",,,
I'm sure there's a supplement I could take or another easy solution to cure my laziness. Someone look into it for me.,,,
"Hi, welcome to dating. These are your two options: 1. Stay together forever 2. Break up No pressure.",,,
"My track record as an adult is mostly false starts, hurdles and running around in a circle.",,,
"I've seen a lot of great photos of babies in my life, so if you want my like on Facebook you better bring it.",,,
Top Seven Sources of molten lava: 7. Center of the earth 6. Molten lava cake 5. Mount Doom 4. Hell 3. Hot Pockets 2. Volcano 1. Pizza Rolls,,,
To the teenager that flipped me off for honking at you. Your phone is on top of your car.,,,
The fantasy part of fantasy football is that 10 wives would all let their husbands out on the same night for the draft.,,,
"It's called mob mentality, maybe you've herd of it.",,,
"Not now, I'm tracking my order.",,,
[airport bar] ME: give me your finest... *looks down at menu prices* ...glass of water,,,
"Marriage is full of surprises but it's mostly just asking each other ""do you have to do that right now?"";;;;""768054729209503744",,,
My house has really let itself go.,,,
*I gently close front door Dog: Where have you been?? I was worried sick about you! See that vomit on the floor? That's because of you!,,,
a couple years ago my therapist told me I had problems letting go of the past,,,
"4-year-old: I was a good girl at preschool. Me: You should be a good girl at home, too. 4: I can't do it all day.",,,
After 50 years of failed embargoes and isolation the US is about to unleash its most obnoxious weapon on Cuba to date…the American tourist.,,,
"The best part about working in an office is that if you ever forget that you got a haircut, someone will definitely point it out to you.",,,
Freudian slips are the original autocorrect.,,,
"I used to race motorcycles. Man, those things are a lot faster than me.",,,
I got excited when my son joined the cross-country team. But then I learned they don’t cross the country and are back home in a few hours.,,,
It's not love until you don't want them to have a good time without you.,,,
Happy 10th birthday to your dating profile pic.,,,
When I said I liked you..I never meant every day.,,,
Jokes on you hot chick at the bar who gave me a radio station's phone number I just won Harlem Globetrotter tickets and a Bud Light poncho.,,,
When I was young I did stupid things because I didn't know any better. Now I know better and do stupid things because I miss being young.,,,
The most dangerous potential side effect of Depression is poetry.,,,
I thought reverse psychology was when you made your therapist cry,,,
I'm experiencing heavy call volumes. Please hang up and never call me again.,,,
"Henceforth, an amusing or entertaining quandary shall be referred to as a funundrum.",,,
You haven't texted me since you went to bed. Are we ok??,,,
"Music makes every day better, especially if you turn it up just loud enough to drown out all the people around you.",,,
so there i was just minding my own business when someone forced me to eavesdrop,,,
"Before I tell my wife something important, I take both her hands in mine. That way she can't hit me with them.",,,
I hate it when you run out of food while you're still eating,,,
"couple beside me in restaurant are on a blind date; they both love dogs, sushi, and looking at Tinder while the other one is in the restroom",,,
"Sorry I missed your call, I was busy seeing how many times my phone would ring before you gave up",,,
"[job interview] ""Tell me one of your weaknesses"" I can be very stubborn ""Will you please elaborate?"" I will not",,,
Under 30: Forget about the bad times and make new memories. Over 40: Remember all the bad times and forget why I'm at this grocery store.,,,
clerk: Do you like dinosaurs? me: Yeah! clerk: me *realizes she was talking to my toddler who's wearing a dinosaur shirt and hat*,,,
Uber lost over a billion dollars in the last six months so they're asking their drivers to check between the seat cushions.,,,
I've never done CrossFit but I have chased my shopping list through a windy parking lot before.,,,
"An asteroid 1,200 light years away has a 0.6% chance of colliding with the Earth, and you all just walking around like everything is fine.",,,
"A lady in Santa Monica is hand-feeding a Yorkie in a baby stroller, if you want to meet the specific dog who has a better life than you do.",,,
"In a crowded elevator, tell all the tall people they have to get in the back because you're going to take a group photo.",,,
The best thing about women is how they can tell you what you really mean when you say something...,,,
I thought a spin cycle class was about laundry.,,,
"Facebook: ""My kids are perfect."" Instagram: ""My kids are beautiful."" Twitter: ""My kids are why I drink."";;;;""768249188568236032",,,
Sorry I told your kid beehives were nature's honey piñatas.,,,
Life is too short. Tell someone you love them. Give someone a compliment. Go out and meet new people. Ignore the restraining orders,,,
"I really feel comfortable around you. (Google Translate) I won't be shaving, showering, or dressing up too nice when we're together.",,,
You know what would make these kale chips great? If they were made out of potatoes.,,,
One time I told a rival dad that the air pressure looked low in one of his tires right in front of a group of people.,,,
My brain is not equipped with facial or name recognition technology.,,,
Travel tip: Please don't make it too easy for bears if you're taking the family to Yellowstone Park this summer. pic.twitter.com/EkqhoFE15Q,,,
"As Transformers get old, they first turn into golf carts and then motorized adult scooters.",,,
My favorite part of grocery shopping is rushing home to look at the shopping list on my counter to see what I forgot to buy.,,,
"Not sure if I should be more concerned about the son who locked me out of my bedroom today, or the one who showed me how to pick the lock.",,,
"No matter which kids book I read to my screaming baby on an airplane, the moral of the story is always something about a vasectomy.",,,
I wish the girls who rejected me in high school could see how many Pokémon I've caught.,,,
6-year-old: Are you there? Over. 4-year-old: Yeah. Over. Me: Turn off the walkie talkies and go to bed 6: Me: 6: Dad can hear us. Over.,,,
If one of you hacks into my wifi can you please lemme know the password?,,,
How come they don’t sing “Happy Birthday” in the delivery room?,,,
"Let's not talk about my mistakes, let's focus on yours.",,,
I love waking up to the sound of birds arguing with their spouses.,,,
Me: Who's a good boy? Dog: I thought we settled this.,,,
My wife is fluent in furious.,,,
I'm never so lost that I can't find the refrigerator.,,,
I'm not the kind of puzzle you can solve but don't you dare stop trying.,,,
I judge my day based on how many times I threaten to take my kids to the orphanage.,,,
I painted 1 room & then the hallway and room next to it looked kinda shabby and I'm guessing this is how plastic surgery gets out of hand.,,,
"I called roadside assistance, but they didn't want to hear about my problems unless it had to do with my car.",,,
"Twitter is now filtering out ""lower quality content"" tweets so I guess this is goodbye guys.",,,
You can't just light a pumpkin spice candle in August you psycho.,,,
"WIFE: Stop spending money on stupid stuff ME: Okay [later] WIFE: What the hell? [dog walks by in a tuxedo] ME: He's getting married, Karen",,,
"If I work out for the next four years, when the next Olympics comes around I think I could get up from the couch on the first try.",,,
I'm pretty good at getting divorced men I date to give their ex another chance.,,,
a cauliflower is a plant explosion in extremeley slow motion,,,
Call me anything you want except early in the morning.,,,
Your soulmate is currently working their way through several other soulmates before they finally get to you.,,,
"*Dog puts cupcake on my nose and tells me to ""stay"";;;;""598185754712408064",,,
The story of milk: Good milk. Bad milk. Disgusting milk. Dangerous milk. Cheese! I love a happy ending.,,,
"Your baby looks the same as it did yesterday. Me, commenting on a Facebook picture.",,,
My relationships are much like pro wrestling matches - the outcomes are predetermined and there's a good chance I'll get hit with a chair.,,,
My workout playlist is one song.,,,
"My life is an open book. Trouble is, nobody seems able to read my handwriting.",,,
"Diet tip: If you think you're hungry, you might just be thirsty. Have a bottle of wine first and then see how you feel.",,,
6 minutes after walking into Sephora pic.twitter.com/5ah3bOmDJs,,,
*me being perfectly still not doing anything* Wife: Stop doing that…,,,
Would someone go to the kitchen and bring me some Doritos? I'm busy yelling at world class Olympic athletes to swim faster.,,,
"Love means seeing past their flaws. Their many flaws. Their many, many, many flaws. Oh, god ... so many flaws ...",,,
How often do I use this exfoliating bath sponge if I want to lose 40 pounds?,,,
"*buys dog organic, free-range, non-nitrate chicken treats for $7.99, buys self Big Mac",,,
"After I pet someone's dog, I look the person in the eyes and gravely tell them ""He knows what you did."";;;;""762667149903233024",,,
"exactly 14 yrs ago today, I pointed at a beautiful woman & said ""that's the girl I'm gonna marry one day"" but it turned out to be a lamppost",,,
Man discovers fire Man invents wheel Man builds pyramids Man lands on moon Man wastes life on the Internet,,,
Acts of extreme bravery: • Racing into a burning building. • Tackling an armed robber. • Ignoring a woman's text messages.,,,
"Boss: ""Thanks for making me my coffee. You know what'd go well with this?"" Me: ""The antidote?"" Boss: ""No, a nice..Wait, what?"" Me: ""Nothing"";;;;""761502277014204416",,,
Do I just call you or should we resolve this quickly with 200 text messages?,,,
Don't do it Jason. Put the gun down and let the dog go pic.twitter.com/yBFiMAgXgV,,,
"Remember kids, with that Bachelors Degree you can run the fry machine, but with a Masters you can start as Assistant Manager.",,,
*smoke detector chirps* me*takes battery out* *chirp* me*cuts wires* *chirp* me*smashes it with a hammer* *chirp* wife:We have more than one,,,
My car has one of those backup cameras so I can see what I hit.,,,
"I found a scary-looking Pokemon on my living room sofa, but then I realized it was my mother-in-law.",,,
I was going to go running but no one was chasing me.,,,
How to tell if your kid is doing drugs 1. Are your drugs missing?,,,
Remember when the camera DIDN'T lie?,,,
I don't appreciate how quickly you agree when I admit that I'm imperfect.,,,
The most efficient way to kill almost anything living is to plant it in my yard.,,,
Boss: Stop copy and pasting your responses from old emails Me: No problem Sent from my iphone Sent from my iphone,,,
"[introducing myself to new boyfriends parents] ""Hi, I usually don't make it this far"";;;;""690684740785942528",,,
"My parents won't say which of their six kids they love the best, but they have told me I finished just out of the top five.",,,
"Doctor: Did you take those pills I gave you last month? Me: The package said ""Take on an empty stomach"" so, not yet.",,,
"I told my 2-year-old to find her shoes She cupped her hands & yelled ""Shoes, where are you?"" I'd help her, but I want to see if this works",,,
*Takes drive down memory lane *Gets a DUI,,,
Relationships are easier if one of you is a cake.,,,
INTERVIEWER: why did you leave your last job? ME: they stopped putting Kit Kats in the break room vending machine,,,
"Siri, bring me a delicious cheesecake and tell my food journal to log it as a veggie burger.",,,
Wife wanted to watch a scary movie so I took a video of me opening the credit card bill after our Disney trip.,,,
Being a woman is exciting because we don't know what mood we will be in next or for how long.,,,
My dog acts pretty tough for someone who's afraid of cotton balls,,,
"""You won't always know if you're in a fight with them."" ""Play dumb."" ""Never, ever tell them to calm down."" - me teaching my son about girls",,,
My credit score has a McDonald's application stapled to it.,,,
Can you get financial aid for dating?,,,
"What woman say right before they kill you: Wow. Fine. Whatever. No problem. I'm not mad. Nothing's wrong. Sure, stay friends with your ex.",,,
"My memory is good but not ""can look at a phone number and remember it long enough to press seven buttons"" good.",,,
So hungry I could eat a vegetable,,,
Prince Charming: I will awaken her with love's sweet ki-- Sleeping Beauty: five more minutes,,,
[medusa's husband sighing and pulling a wad of snakes out of the shower drain],,,
Me: Want me to load the dishwasher? Wife: You do it wrong. I'll take care of it myself. Me: Want to have sex? Wife: What did I just say?,,,
"All of my horoscopes lately have started with “Ok, don’t freak out but…”",,,
Aladdin is my favorite story about how anything is possible if you find a magical genie that grants wishes.,,,
Just when you think the world’s gone crazy you find out Mick Jagger knocked up his 29-year-old girlfriend and everything makes sense again.,,,
"""It's so nice to see you finally working together,"" I tell my kids as they overthrow me.",,,
It's not a date until you've looked up from your screen and made eye contact,,,
"Forget a wall, we should just put caution tape around the borders of America.",,,
Are you overthinking what I'm overthinking?,,,
"Not to brag, but I can hold these two beliefs simulaneously at any time: - Nobody's paying attention to me - Everyone's looking at me funny",,,
"In America, feng shui is just aiming all of your furniture at the TV.",,,
"After my Grandmother passed, all us grand-kids were comparing stories and discovered Each of us was her fav.",,,
me: Night pretty girl wife: Good night me wife me wife: You were talking to the dog weren't you? me: Yep,,,
"When I was a teenager, there was only one phone app. It was called the ""dial tone."";;;;""739136848723738624",,,
"Interior designers say your home should have a theme. Mine is toys on the floor of every room, paired with piles of laundry as focal points.",,,
Report: Babies Lose Very Little Weight in Jogging Strollers,,,
"My wife doesn't believe that auto correct changed ""Yes dear"" to ""Hell no I'm not picking your mother up from the airport at 1am."";;;;""615885448850751491",,,
I wore some of those khaki shorts with tiny lobsters all over them and my credit score went up 30 points.,,,
"Siri is turning into my mom and asking random questions like, ""Do you need something? Can I help you? Are you going out wearing that?"";;;;""735295307236409345",,,
Taking my first trip to D.C. Really looking forward to seeing where all the nothing happens.,,,
I'm saving my abstinence for marriage.,,,
90% of working in an office is trying not to be an arsonist.,,,
"A middle age band that lays down on their backs on the stage like Jimmy Hendrix, but for the entire concert",,,
6-year-old: *finds a picture she drew* Why was this in the trash? Me: 6: Me: It was too good. I didn't want to make your sisters jealous.,,,
My mating call sounds a lot like begging,,,
"Maybe you don't have swagger, maybe it's an inner ear infection.",,,
