Original Tweet,Text of tweet,Hashtags,Users tagged,length,Class
"@UberFacts So sad! There are poor, desperate women to exploit here, and we should be helping them first. #sarcasm #Merica",So sad There are poor desperate women to exploit here and we should be helping them first,sarcasm Merica,UberFacts,121,S
I've found that many people don't understand sarcasm; my chances with them are zilch. #reasonswhyimsingle #datingâ€°Ã›_ https://t.co/3vm58aBKlI,I ve found that many people don t understand sarcasm my chances with them are zilch,datingâ€°Ã›_ reasonswhyimsingle,,143,S
I like how the only guy who had any sanity was cheated out of the nomination. #sarcasm,I like how the only guy who had any sanity was cheated out of the nomination,sarcasm,,86,S
"Kansas City should check the psi of these balls. They can't be losing 35-0 without the Steelers cheating. 
  #sarcasm #SNF",Kansas City should check the psi of these balls They can t be losing 35 0 without the Steelers cheating,SNF sarcasm,,121,S
@CadyCat3 @RadioFreeTom @KitCarrington exactly - Yahoo is obviously tons more secure!! #sarcasm,exactly Yahoo is obviously tons more secure,sarcasm,RadioFreeTom CadyCat3 KitCarrington,95,S
Dear @PMOIndia I wish #KashmirIssue resolves soon. I can't bear the news of our army men dying jst cz of our peace luvin neighbours #Sarcasm,Dear I wish resolves soon I can t bear the news of our army men dying jst cz of our peace luvin neighbours,KashmirIssue Sarcasm,PMOIndia,140,S
But its ok you won a playoff game last year lol #sarcasm,But its ok you won a playoff game last year lol,sarcasm,,56,S
Did you guys know that all scoring plays are reviewed in the NFL? I think these TV announcers need to point that out more often. #sarcasm,Did you guys know that all scoring plays are reviewed in the NFL I think these TV announcers need to point that out more often,sarcasm,,137,S
Sure hope the Chiefs changed their cleats at Halftime! Bad play was definitely a result of improper footwear. #sarcasm #KCvsPIT,Sure hope the Chiefs changed their cleats at Halftime Bad play was definitely a result of improper footwear,sarcasm KCvsPIT,,127,S
"Quick dives from post to post to prevent a goal.
  Yep, definitely past his prime.
  #Sarcasm 
  #YouDontKnowLAKings",Quick dives from post to post to prevent a goal Yep definitely past his prime,Sarcasm YouDontKnowLAKings,,113,S
I also strive to go grocery shopping with my significant other while simultaneously holding up our keys. #loveâ€°Ã›_ https://t.co/gcZnB5bzcV,I also strive to go grocery shopping with my significant other while simultaneously holding up our keys,loveâ€°Ã›_,,140,S
"Hey @HillaryClinton apparently wikileaks are basement dwellers.
  Living in your basement for yrs, and visiting your bathroom daily!!
  #Sarcasm",Hey apparently wikileaks are basement dwellers Living in your basement for yrs and visiting your bathroom daily,Sarcasm,HillaryClinton,142,S
@FulphilO This loss is all his fault #sarcasm,This loss is all his fault,sarcasm,FulphilO,45,S
Nothing like solid programming to hypertrophy and improve the exercise capacity of your glenoid labrum and interverâ€°Ã›_ https://t.co/qOl812m3j9,Nothing like solid programming to hypertrophy and improve the exercise capacity of your glenoid labrum and interverâ€°Ã›,,,145,S
@kingk8888 Because everything BLM activists say is true. #sarcasm,Because everything BLM activists say is true,sarcasm,kingk8888,65,S
@NBCTimeless looks real unique. #sarcasm @nbc @EasterbrookG @krst28,looks real unique,sarcasm,NBCTimeless nbc EasterbrookG krst28,67,S
"Nice move US gov, giving away the Internet to the UN. #sarcasm #icann",Nice move US gov giving away the Internet to the UN,sarcasm icann,,69,S
"@Paleophile @Rob0Sullivan @Leolupus79 Also, #Cocktober is almost certainly election month. #Sarcasm #ButNot",Also is almost certainly election month,Sarcasm ButNot Cocktober,Leolupus79 Rob0Sullivan Paleophile,107,S
So glad the @SoundersFC with a man advantage decided to be immature and earn a redcard in the waning minutes of a must win game. #sarcasm,So glad the with a man advantage decided to be immature and earn a redcard in the waning minutes of a must win game,sarcasm,SoundersFC,137,S
"@jimwexell 
  3 incompletions, ugh! Put Landry Jones in
  #Sarcasm",3 incompletions ugh Put Landry Jones in,Sarcasm,jimwexell,64,S
Dog is my favorite person in the world. Already was. Now is only. Pretty Much. #alone #sarcasm #totalsincerity #splitthatshit,Dog is my favorite person in the world Already was Now is only Pretty Much,alone sarcasm splitthatshit totalsincerity,,125,S
Big Ben may just end up being a pretty decent QB in this league some day. #sarcasm #SundayNightFootball #KCvsPIT,Big Ben may just end up being a pretty decent QB in this league some day,sarcasm SundayNightFootball KCvsPIT,,112,S
"@miklasz if the Cards don't retain Holliday, who will we blame everything on? #sarcasm",if the Cards don t retain Holliday who will we blame everything on,sarcasm,miklasz,86,S
@Judson1360 @PadresCentral phew! I am releived that his excuse was a good one #sarcasm,phew I am releived that his excuse was a good one,sarcasm,Judson1360 PadresCentral,86,S
YES. LET'S PUT THIS MAN IN CHARGE OF OUR COUNTRY. #Sarcasm #NoReallyImKiddkng #ImWithHer https://t.co/m4Hpo7b0CV,YES LET S PUT THIS MAN IN CHARGE OF OUR COUNTRY,Sarcasm ImWithHer NoReallyImKiddkng,,112,S
"@ThePatriot143 but but but it's trump, we should only cover trump's faults. Hillary is perfect. #sarcasm",but but but it s trump we should only cover trump s faults Hillary is perfect,sarcasm,ThePatriot143,104,S
.@realDonaldTrump your miles of experience commanding battles makes me believe you are on to something here #sarcasm #joker,your miles of experience commanding battles makes me believe you are on to something here,joker sarcasm,,123,S
"@al_bundee grown-up #atheism is mostly causal result or #scepticism, #freeStyleThinking, #sarcasm, &amp; #inDependence @cathybbyxd #atheism #MND",bundee grown up is mostly causal result or amp,"freeStyleThinking, sarcasm, atheism MND inDependence scepticism,",al_bundee cathybbyxd,144,S
"Hey Folks, Tomorrow's Monday! Should be another super work day #sarcasm",Hey Folks Tomorrow s Monday Should be another super work day,sarcasm,,71,S
@JuliaGTelles Maybe BLM should riot again and hurt more people. Ya - that should work. That should endear them to others. #sarcasm,Maybe BLM should riot again and hurt more people Ya that should work That should endear them to others,sarcasm,JuliaGTelles,130,S
@ChrisDude4757 no! Lol absolutely not! #sarcasm,no Lol absolutely not,sarcasm,ChrisDude4757,47,S
@realDonaldTrump What a brilliant military strategist you are. #sarcasm,What a brilliant military strategist you are,sarcasm,realDonaldTrump,71,S
"""Extra patrols around Ferguson schools out of an abundance of caution."" OF COURSE it's out of an abundance of cautiâ€°Ã›_ https://t.co/CLdqBlcloI",Extra patrols around Ferguson schools out of an abundance of caution OF COURSE it s out of an abundance of cautiâ€°Ã›,,,145,S
Thanks @Chiefs for allowing me to watch Halloween Wars tonight. I wanted to watch pumpkin carving instead. #sarcasm #chiefs,Thanks for allowing me to watch Halloween Wars tonight I wanted to watch pumpkin carving instead,chiefs sarcasm,Chiefs,123,S
Our offense starring WR Marcus Peters is going on the field again #sarcasm,Our offense starring WR Marcus Peters is going on the field again,sarcasm,,74,S
Ab Inbev To Pay Sec $6 Million To Settle Bribery Charges https://t.co/2va1b96J4W My favourite beer conglomerate #theonlyone #sarcasm,Ab Inbev To Pay Sec 6 Million To Settle Bribery Charges My favourite beer conglomerate,sarcasm theonlyone,,132,S
"Yeah, let's blame it on the monkeys. It's not like we are rational thinkers or anything like that. #scapegoatâ€°Ã›_ https://t.co/bBuHZgEqvT",Yeah let s blame it on the monkeys It s not like we are rational thinkers or anything like that,scapegoatâ€°Ã›_,,139,S
I want to be where the white people are #hardlyStrictlyBluegrass #sarcasm @natashy_nicole,I want to be where the white people are nicole,sarcasm hardlyStrictlyBluegrass,natashy_nicole,89,S
Thank you for making #racism more socially acceptable @realDonaldTrump. Encouraging hate will surelyâ€°Ã›_ https://t.co/P8Lyo6u1eW,Thank you for making more socially acceptable Encouraging hate will surelyâ€°Ã›,racism,realDonaldTrump.,130,S
Yeah super cool name throwing... criminal... and yelling insults.. nose job.. #sarcasm. that was such hate speech. #bye #RHONJ wow,Yeah super cool name throwing criminal and yelling insults nose job that was such hate speech wow,RHONJ bye sarcasm.,,130,S
Whew. I've been on pins and needles wondering who LBJ would endorse. #sarcasm https://t.co/5uJ7yDKjKw,Whew I ve been on pins and needles wondering who LBJ would endorse,sarcasm,,101,S
A point for Hillary? ~ The Ambassador to Libya did not voice a single criticism of Hillary's handling of Benghazi. #Benghazi #sarcasm #MAGA,A point for Hillary The Ambassador to Libya did not voice a single criticism of Hillary s handling of Benghazi,Benghazi sarcasm MAGA,,139,S
"My current snap story is the prime, shining example of why I have all the boyfriends. #sarcasm #butseriouslyitshilarious",My current snap story is the prime shining example of why I have all the boyfriends,butseriouslyitshilarious sarcasm,,120,S
Wow. Life must be so hard. Idk how you guys do it. #sarcasm https://t.co/dhiV2fKgq2,Wow Life must be so hard Idk how you guys do it,sarcasm,,83,S
"Yesterday was National Boyfriend Day, but I thought couples already had Valentine's Day? Missed it, guess I don't like my bf enoughÃ°Å¸ËœÅ“#sarcasm",Yesterday was National Boyfriend Day but I thought couples already had Valentine s Day Missed it guess I don t like my bf enoughÃ°Å¸ËœÅ“#sarcasm,,,147,S
My name is Awesome pendant necklace https://t.co/hab35TchQ7 #funnygift #sarcasm #Name_is_awesome https://t.co/y0WB4nLEpJ,My name is Awesome pendant necklace is awesome,sarcasm Name_is_awesome funnygift,,120,S
Pakistan will win any war against India #brilliant #sarcasm https://t.co/5nyysBduSe,Pakistan will win any war against India,brilliant sarcasm,,83,S
"@SockehMonkeh never seen one of these before, thanks! #sarcasm",never seen one of these before thanks,sarcasm,SockehMonkeh,62,S
"Please Kryssie, complain some more. We love it! You are winning so many votes right now. #sarcasm #BBOTT",Please Kryssie complain some more We love it You are winning so many votes right now,sarcasm BBOTT,,104,S
Really quite glad I'm awake #sarcasm,Really quite glad I m awake,sarcasm,,36,S
My mind hates me. Not like I didn't want to sleep tonight anyway. #sarcasm,My mind hates me Not like I didn t want to sleep tonight anyway,sarcasm,,74,S
@Spruke A bad Cairn?! Never! #sarcasm Ã°Å¸Ëœâ€°,A bad Cairn Never Ã°Å¸Ëœâ€°,sarcasm,Spruke,47,S
"Yes, because that guilt is really going to raise our economic privilege as a whole. That'll teach them. Ã°Å¸â€˜â‚¬ #sarcasm",Yes because that guilt is really going to raise our economic privilege as a whole That ll teach them Ã°Å¸â€˜â‚¬,sarcasm,,123,S
I LOVE having bio lecture exams and bio lab examsÃ°Å¸â„¢Æ’ #sarcasm,I LOVE having bio lecture exams and bio lab examsÃ°Å¸â„¢Æ’,sarcasm,,67,S
Oh yeah that sounds like a great president. I think a lot will get done don't you? Smh. #sarcasm https://t.co/nfPcrNq8MS,Oh yeah that sounds like a great president I think a lot will get done don t you Smh,sarcasm,,120,S
Donald Trump's tax returns prove that he's the hero America's been waiting for. #sarcasm https://t.co/jPRjFA9Kw0,Donald Trump s tax returns prove that he s the hero America s been waiting for,sarcasm,,112,S
"Not everyone is smart.
  #sarcasm https://t.co/ZcoXyyw8UB",Not everyone is smart,sarcasm,,57,S
I'm fucked. No unpaid time off. I get to do MFF from Friday night until mid-day Sunday. Ã°Å¸â„¢Æ’ Awesome. #sarcasm,I m fucked No unpaid time off I get to do MFF from Friday night until mid day Sunday Ã°Å¸â„¢Æ’ Awesome,sarcasm,,115,S
I love hearing new stuff about me from other people so so so muchÃ°Å¸ËœÅ’ #sarcasmÃ°Å¸â€™Â¯,I love hearing new stuff about me from other people so so so muchÃ°Å¸ËœÅ’,sarcasmÃ°Å¸â€™Â¯,,91,S
Yeah they were a tag team in WWE. Come on now #Sarcasm https://t.co/r5RcNt6UHG,Yeah they were a tag team in WWE Come on now,Sarcasm,,78,S
"@nowthisnews Well, if Lena Dunham is in the ad, millenials will just be head over hills in love with Clinton. #sarcasm",Well if Lena Dunham is in the ad millenials will just be head over hills in love with Clinton,sarcasm,nowthisnews,118,S
DUDE... What if Halloween is on Friday the 13th this year??! Ã°Å¸ËœÂ²Ã°Å¸ËœÂµ#sarcasm #omgconspiracy,DUDE What if Halloween is on Friday the 13th this year Ã°Å¸ËœÂ²Ã°Å¸ËœÂµ#sarcasm,omgconspiracy,,100,S
#Keep smoking and make some contribution in saving the Environment. #sarcasm only/- lol https://t.co/3Ot6IttgjB,smoking and make some contribution in saving the Environment only lol,sarcasm Keep,,111,S
"By the way, I be saying holy shit when Alberto Del Rio was deleted from the #WWE2K17 Suplex City commercial. Good job WWE. Ã°Å¸Ëœâ€š #Sarcasm",By the way I be saying holy shit when Alberto Del Rio was deleted from the Suplex City commercial Good job WWE Ã°Å¸Ëœâ€š,Sarcasm WWE2K17,,141,S
Thanks iOS10... I love that you made my life easier with extra swipes and touches. #reallygottawantit #missedthemark #losingmymind #sarcasm,Thanks iOS10 I love that you made my life easier with extra swipes and touches,reallygottawantit losingmymind missedthemark sarcasm,,139,S
I hate passive aggression. I don't want to point fingers but some people are too immature to just come out and say what they mean. #sarcasm,I hate passive aggression I don t want to point fingers but some people are too immature to just come out and say what they mean,sarcasm,,139,S
"1 bedroom, 1/2 bath, 700 Sq ft., $217,000. What a deal! #sarcasm #Austinhousing https://t.co/WFcXGTzEgx",1 bedroom 1 2 bath 700 Sq ft 217 000 What a deal,sarcasm Austinhousing,,103,S
".@AmericanAir Yes, I'm sure the prices will go down in the next few hours. #sarcasm #pricegouging #greed #HurricaneMatthew",Yes I m sure the prices will go down in the next few hours,sarcasm HurricaneMatthew greed pricegouging,,122,S
Looks like the only possible way! #worldpeace #shared #sarcasm https://t.co/juQcb8ueaM,Looks like the only possible way,worldpeace shared sarcasm,,86,S
"Hi, my name is Ricardo. According to some journalists I live in a tent and eat trees. :) #haitian #sarcasm",Hi my name is Ricardo According to some journalists I live in a tent and eat trees,sarcasm haitian,,106,S
@DanSlott the eloquence displayed by @noxiousgomez is a glowing tribute to the English language. #sarcasm,the eloquence displayed by is a glowing tribute to the English language,sarcasm,noxiousgomez DanSlott,105,S
When you try to act like you don't careÃ°Å¸ËœÅ“#music #singing #crazy #relatable #sarcasm #girlsbelike #idontca... https://t.co/UnFBynsuV5,When you try to act like you don t careÃ°Å¸ËœÅ“#music,girlsbelike crazy relatable sarcasm idontca... singing,,138,S
"Tomorrow night I'll miss the Vice President debate, so sad #sarcasm",Tomorrow night I ll miss the Vice President debate so sad,sarcasm,,67,S
"I knew it!
  So @GUCCIFER_2 is a Trump advisor who was hired by Roger Stone to help Assange get asylum.
  #sarcasm https://t.co/10sS3PULyE",I knew it So 2 is a Trump advisor who was hired by Roger Stone to help Assange get asylum,sarcasm,GUCCIFER_2,138,S
Now that's What you call #sarcasm!!! Pakistan will win any war against India https://t.co/UnwilHgWOh,Now that s What you call Pakistan will win any war against India,sarcasm!!!,,100,S
"Way to keep it classy, @NRA #sarcasm show some #decency https://t.co/hiGjgbIZDO",Way to keep it classy show some,sarcasm decency,NRA,79,S
So glad they decided to schedule @Rangers post season home games during the day... #sarcasm #imsalty,So glad they decided to schedule post season home games during the day,imsalty sarcasm,Rangers,100,S
"Man, so glad for the hope &amp; change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pFm4",Man so glad for the hope amp change pic,ccot tcot sarcasm LNYHBT RedNationRising tgdn SGP PJNET,,132,S
@RandPaul very diverse crowd there at #EKU #sarcasm,very diverse crowd there at,sarcasm EKU,RandPaul,51,S
@kworl you missed an opportunity to see one of the greatest men in American history speak? Shame! #sarcasm,you missed an opportunity to see one of the greatest men in American history speak Shame,sarcasm,kworl,106,S
"@llake Thank you. Ã°Å¸Ëœâ‚¬ All is good, until more leaves start falling, then I'll get back to ya on how good it really is. Lol #sarcasm",Thank you Ã°Å¸Ëœâ‚¬ All is good until more leaves start falling then I ll get back to ya on how good it really is Lol,sarcasm,llake,137,S
Let's celebrate Walsh for the extra point #doyourjob #sarcasm,Let s celebrate Walsh for the extra point,sarcasm doyourjob,,61,S
Some people use #humor or #sarcasm as a #defensemechanism but the only defense mechanism I need is #karate,Some people use or as a but the only defense mechanism I need is,karate sarcasm defensemechanism humor,,106,S
First my nose ring falls out so I can't put it back in and then my rabbit gives me a nasty scratch across my leg. Today was great. #sarcasm,First my nose ring falls out so I can t put it back in and then my rabbit gives me a nasty scratch across my leg Today was great,sarcasm,,139,S
"@MaryNelsonOmaha Glad to see you've gotten a good start at removing that shitty tileÃ¢â‚¬Â¦ oh, waitÃ¢â‚¬Â¦ #sarcasm",Glad to see you ve gotten a good start at removing that shitty tileÃ¢â‚¬Â¦ oh waitÃ¢â‚¬Â¦,sarcasm,MaryNelsonOmaha,116,S
"@TonyPivetta But Congress, their friends and family made a killing and really...Isn't that all that matters? #sarcasm",But Congress their friends and family made a killing and really Isn t that all that matters,sarcasm,TonyPivetta,117,S
"If you don't understand the swing just yell ""approach"" and ""compete"" louder. #sarcasm",If you don t understand the swing just yell approach and compete louder,sarcasm,,85,S
Can this year get any better? #sarcasm My uncle died today.,Can this year get any better My uncle died today,sarcasm,,59,S
"Damn it, you're right! Letting your actions CAUSE an HIV outbreak is better for your state! It's not like AIDS canÃ¢â‚¬Â¦ https://t.co/UPLdUpTmQe",Damn it you re right Letting your actions CAUSE an HIV outbreak is better for your state It s not like AIDS canÃ¢â‚¬Â¦,,,145,S
"@ABC wow, she is the hardest working woman ever! No, her daughter is!! #sarcasm #givemeabreak #lyingbitch #shouldbeinjail #crookedhillary",wow she is the hardest working woman ever No her daughter is,sarcasm givemeabreak shouldbeinjail crookedhillary lyingbitch,ABC,137,S
@True_Underdog I shop at Walmart. #sarcasm,Underdog I shop at Walmart,sarcasm,True_Underdog,42,S
"Watching Netflix and waiting for a commercial to get up and do stuff 
  #fingerscrossed #sarcasm",Watching Netflix and waiting for a commercial to get up and do stuff,sarcasm fingerscrossed,,96,S
"Triple H marrying Stephanie guaranteed him a billion dollars and the chance to eventually run #WWE. Yes, terrible idea. #RAW #WWE #Sarcasm",Triple H marrying Stephanie guaranteed him a billion dollars and the chance to eventually run Yes terrible idea,WWE RAW WWE. Sarcasm,,138,S
We have a nice set of leaders #sarcasm https://t.co/0SPEvEDmHM,We have a nice set of leaders,sarcasm,,62,S
@johnkriesel can't wait until it matters. #sarcasm,can t wait until it matters,sarcasm,johnkriesel,50,S
@adilmomin786 @gregkoch1 I know..#sarcasm by then he was doing That's Incredible!,I know by then he was doing That s Incredible,,adilmomin786 gregkoch1,81,S
@decraustin wow sooooo exciting #sarcasm,wow sooooo exciting,sarcasm,decraustin,40,S
"@josheidelson @Reuters For god's sake, please let those women kill their babies. Cmon Poland, you're better than that. #sarcasm",For god s sake please let those women kill their babies Cmon Poland you re better than that,sarcasm,Reuters josheidelson,127,S
"""Not enough white people"". I had the same thought when I saw Ironman, Avengers, Captain America, Thor, Guardians... #sarcasm #LukeCage",Not enough white people I had the same thought when I saw Ironman Avengers Captain America Thor Guardians,sarcasm LukeCage,,134,S
Ummm.. I heard that @OBJ_3 is a good football player. Maybe he should get in the game. #sarcasm,Ummm I heard that 3 is a good football player Maybe he should get in the game,sarcasm,OBJ_3,95,S
Man I hope nobody tries to cash in their money in the bank briefcase #sarcasm #SusanGKomen #RAW,Man I hope nobody tries to cash in their money in the bank briefcase,sarcasm SusanGKomen RAW,,95,S
@BirdsEye I just love when I get a package of broccoli and it turns out to be 90% stems. #LoveIt #Sarcasm #NotCool https://t.co/IXXIjzhk0J,I just love when I get a package of broccoli and it turns out to be 90 stems,LoveIt NotCool Sarcasm,BirdsEye,138,S
Odell Beckham called for taunting...I don't believe it. #sarcasm,Odell Beckham called for taunting I don t believe it,sarcasm,,64,S
Today can't get any better... #sarcasm,Today can t get any better,sarcasm,,38,S
I'm glad @twitter has decided to show me tweets from people I don't even follow. #sarcasm,I m glad has decided to show me tweets from people I don t even follow,sarcasm,twitter,89,S
"Just finished like my 15th book this month. Paperback, hardcover, and on wattpad. I'm on a roll. Don't judge I'm aÃ¢â‚¬Â¦ https://t.co/jeD9uASrzV",Just finished like my 15th book this month Paperback hardcover and on wattpad I m on a roll Don t judge I m aÃ¢â‚¬Â¦,,,145,S
Don't worry Titus O'Neil... That wasn't a boring promo at all. #sarcasm #wweraw,Don t worry Titus O Neil That wasn t a boring promo at all,sarcasm wweraw,,79,S
Thanks @TMobile for shutting off my phone data for using 1GB/10GB plan. It's so much fun to watch half an episode on Netflix #sarcasm,Thanks for shutting off my phone data for using 1GB 10GB plan It s so much fun to watch half an episode on Netflix,sarcasm,TMobile,133,S
"yes, because drones are meant to murder people you dislike. #sarcasm #criminal #disgusting https://t.co/PAEQoZZcMK",yes because drones are meant to murder people you dislike,sarcasm criminal disgusting,,114,S
"Hey it's Sami! I remember him, you had some pretty decent matches this year. #RAW #Sarcasm",Hey it s Sami I remember him you had some pretty decent matches this year,RAW Sarcasm,,90,S
"Laying in bed, curled up in a bawl, crying and trying to throw up is exactly what I want to be doing... #sarcasm #ugh",Laying in bed curled up in a bawl crying and trying to throw up is exactly what I want to be doing,sarcasm ugh,,117,S
And I'm sure you're looking forward to the new $.23 per gallon gas tax! #winning #sarcasm https://t.co/iN13Vn7Wvr,And I m sure you re looking forward to the new 23 per gallon gas tax,sarcasm winning,,113,S
Start the engraving now! Stanley Cup Champs. #Sarcasm https://t.co/6nCdOHhzlN,Start the engraving now Stanley Cup Champs,Sarcasm,,77,S
@macwfnz #Panthers season may be saved! Gettleman just signed WR Brenton Bersin. Hallelujah! #sarcasm,season may be saved Gettleman just signed WR Brenton Bersin Hallelujah,sarcasm Panthers,macwfnz,101,S
"Well looks like it'll be a while before I come out with a video thanks for breaking my computer with you're ""updates"" @Microsoft #sarcasm",Well looks like it ll be a while before I come out with a video thanks for breaking my computer with you re updates,sarcasm,Microsoft,137,S
@MattWeaverSBN @A_S12 @NASCAR @RCRracing @mlbam Great. Now everything is going to look exactly the same. #sarcasm #golfclap,S12 Great Now everything is going to look exactly the same,sarcasm golfclap,MattWeaverSBN mlbam A_S12 RCRracing NASCAR,123,S
"Welp. Good job, Giants. #sarcasm #mnf",Welp Good job Giants,sarcasm mnf,,37,S
"@wikileaks announcement is at 3am ET. Yeah....3am...isn't that special? LOL
  Think Hillary will wake up at 3am to hear it? #sarcasm",announcement is at 3am ET Yeah 3am isn t that special LOL Think Hillary will wake up at 3am to hear it,sarcasm,wikileaks,132,S
"Oh no. I disappointed somebody because my politics aren't representative of their own.
  
  I am *very* sad about this.
  
  9_9 #sarcasm",Oh no I disappointed somebody because my politics aren t representative of their own I am very sad about this 9 9,sarcasm,,137,S
@MattStephens quit fact checking! #sarcasm,quit fact checking,sarcasm,MattStephens,42,S
"Kim Kardashian was tied up and robbed at gunpoint, but OMG that's so funny cause she had that sex tape once. Ã°Å¸â„¢â€ž #sarcasm #assualtisntfunny",Kim Kardashian was tied up and robbed at gunpoint but OMG that s so funny cause she had that sex tape once Ã°Å¸â„¢â€ž,sarcasm assualtisntfunny,,146,S
"@litfangrl well, geez then I might have a problem|! hahaha #sarcasm #whiteasaghost",well geez then I might have a problem hahaha,sarcasm whiteasaghost,litfangrl,82,S
"Terrible that the ""dishonest media"" can use the candidate's own words like this. #sarcasm https://t.co/HMuqFRP37M",Terrible that the dishonest media can use the candidate s own words like this,sarcasm,,113,S
@USAforTrump2016 looks like another HUGE crowd for Hillary. #sarcasm Ã°Å¸Ëœâ€š. Ã°Å¸Å¡â€šÃ°Å¸â€™Â¨Ã°Å¸â€™Â¨Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸,looks like another HUGE crowd for Hillary Ã°Å¸Ëœâ€š Ã°Å¸Å¡â€šÃ°Å¸â€™Â¨Ã°Å¸â€™Â¨Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸Ã°Å¸â€¡ÂºÃ°Å¸â€¡Â¸,sarcasm,USAforTrump2016,161,S
"Way to make your new Cruiserweight Champion look like strong, @WWE. #RAW #sarcasm #stupid #5050booking",Way to make your new Cruiserweight Champion look like strong,RAW 5050booking stupid sarcasm,WWE.,102,S
"@thedodgerdude everyone starts off with a 
  .000 batting average in the post season. Delete this before other teams see it #sarcasm",everyone starts off with a 000 batting average in the post season Delete this before other teams see it,sarcasm,thedodgerdude,132,S
Nothing makes your 1st-ever cruiserweight champion look strong like having him tap out to a sleeper hold. #WWE #RAW #RAWLosAngeles #sarcasm,Nothing makes your 1st ever cruiserweight champion look strong like having him tap out to a sleeper hold,WWE RAW RAWLosAngeles sarcasm,,139,S
"Can't we just drone Hillary &amp; Obama?
  Just askin for a friend....
  #sarcasm",Can t we just drone Hillary amp Obama Just askin for a friend,sarcasm,,81,S
"@PoliceOne @fred_burton Wouldn't recommend charges but sells out America's police force.... #WellDone
  
  #sarcasm",burton Wouldn t recommend charges but sells out America s police force,WellDone sarcasm,PoliceOne fred_burton,115,S
Yes!!!!! Best day ever!!!! #sarcasm https://t.co/qk80HxKCfo,Yes Best day ever,sarcasm,,59,S
"@BSmithFlyers @davegisaac OH MY WORD, WHAT SAVAGES!
  
  #sarcasm",OH MY WORD WHAT SAVAGES,sarcasm,davegisaac BSmithFlyers,65,S
All right! 4 hours of Gruden! WHOOOO! #sarcasm,All right 4 hours of Gruden WHOOOO,sarcasm,,46,S
"#carbontax imposed on by the Feds? Democracy or dictatorship 
  
  Did I miss something? #rhetoricalquestion #sarcasm",imposed on by the Feds Democracy or dictatorship Did I miss something,sarcasm rhetoricalquestion carbontax,,117,S
@firefire100 maybe she was scared by the noise? #sarcasm ;),maybe she was scared by the noise,sarcasm,firefire100,59,S
@geraldcelente But the US government must get rid of so called foreign dictatorsÃ°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂ #sarcasm,But the US government must get rid of so called foreign dictatorsÃ°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂ,sarcasm,geraldcelente,113,S
