Tweet,Sarcasm(yes/no/no) Ravi,Sarcasm(Yes/No/no) Niranjana,Sarcasm(Yes/No/no) Priya
Megabitch coffee mug https://t.co/bq7AToxH7R #WitticismsRus #sarcasm #funnygift #Adult_humor https://t.co/jSczh61Zol,yes,no,no
Ab Inbev To Pay Sec $6 Million To Settle Bribery Charges https://t.co/2va1b96J4W My favourite beer conglomerate #theonlyone #sarcasm,yes,no,yes
"Yeah, let's blame it on the monkeys. It's not like we are rational thinkers or anything like that. #scapegoat‰Û_ https://t.co/bBuHZgEqvT",yes,no,yes
I want to be where the white people are #hardlyStrictlyBluegrass #sarcasm @natashy_nicole,yes,yes,yes
Thank you for making #racism more socially acceptable @realDonaldTrump. Encouraging hate will surely‰Û_ https://t.co/P8Lyo6u1eW,yes,yes,yes
Yeah super cool name throwing... criminal... and yelling insults.. nose job.. #sarcasm. that was such hate speech. #bye #RHONJ wow,yes,yes,yes
@hankschulman @leadofftriples This way MadBum closes the NLDS out in game 3. Just kidding! #sarcasm,no,no,no
Great coverage. #Chiefs #sarcasm,no,no,no
Whew. I've been on pins and needles wondering who LBJ would endorse. #sarcasm https://t.co/5uJ7yDKjKw,yes,no,yes
A point for Hillary? ~ The Ambassador to Libya did not voice a single criticism of Hillary's handling of Benghazi. #Benghazi #sarcasm #MAGA,yes,yes,no
"My current snap story is the prime, shining example of why I have all the boyfriends. #sarcasm #butseriouslyitshilarious",yes,yes,yes
Wow. Life must be so hard. Idk how you guys do it. #sarcasm https://t.co/dhiV2fKgq2,yes,yes,yes
"Yesterday was National Boyfriend Day, but I thought couples already had Valentine's Day? Missed it, guess I don't like my bf enoughðŸ˜œ#sarcasm",yes,yes,yes
My name is Awesome pendant necklace https://t.co/hab35TchQ7 #funnygift #sarcasm #Name_is_awesome https://t.co/y0WB4nLEpJ,yes,no,yes
Pakistan will win any war against India #brilliant #sarcasm https://t.co/5nyysBduSe,yes,yes,yes
"@SockehMonkeh never seen one of these before, thanks! #sarcasm",yes,yes,no
"Please Kryssie, complain some more. We love it! You are winning so many votes right now. #sarcasm #BBOTT",yes,no,yes
My kind of people #sarcasm https://t.co/JabP9VwXqC,no,no,no
Really quite glad I'm awake #sarcasm,yes,yes,yes
My mind hates me. Not like I didn't want to sleep tonight anyway. #sarcasm,yes,yes,yes
@Spruke A bad Cairn?! Never! #sarcasm ðŸ˜‰,yes,yes,no
"Yes, because that guilt is really going to raise our economic privilege as a whole. That'll teach them. ðŸ‘€ #sarcasm",yes,yes,no
I LOVE having bio lecture exams and bio lab examsðŸ™ƒ #sarcasm,no,yes,yes
Those poor White people offended by #LukeCage will be forced to turn to the remaining 99% of TV programming #whitetears #sosad #sarcasm,no,no,no
Oh yeah that sounds like a great president. I think a lot will get done don't you? Smh. #sarcasm https://t.co/nfPcrNq8MS,yes,yes,yes
"Ya, that's not at all what a little kid would say... #Sarcasm https://t.co/0CGQaLSvNy",no,no,no
Donald Trump's tax returns prove that he's the hero America's been waiting for. #sarcasm https://t.co/jPRjFA9Kw0,yes,yes,yes
"Not everyone is smart.
  #sarcasm https://t.co/ZcoXyyw8UB",no,yes,yes
I'm fucked. No unpaid time off. I get to do MFF from Friday night until mid-day Sunday. ðŸ™ƒ Awesome. #sarcasm,yes,yes,yes
I love hearing new stuff about me from other people so so so muchðŸ˜Œ #sarcasmðŸ’¯,yes,yes,yes
Yeah they were a tag team in WWE. Come on now #Sarcasm https://t.co/r5RcNt6UHG,yes,no,yes
"@nowthisnews Well, if Lena Dunham is in the ad, millenials will just be head over hills in love with Clinton. #sarcasm",no,yes,yes
DUDE... What if Halloween is on Friday the 13th this year??! ðŸ˜²ðŸ˜µ#sarcasm #omgconspiracy,no,yes,yes
#Keep smoking and make some contribution in saving the Environment. #sarcasm only/- lol https://t.co/3Ot6IttgjB,yes,yes,yes
"By the way, I be saying holy shit when Alberto Del Rio was deleted from the #WWE2K17 Suplex City commercial. Good job WWE. ðŸ˜‚ #Sarcasm",yes,no,yes
Thanks iOS10... I love that you made my life easier with extra swipes and touches. #reallygottawantit #missedthemark #losingmymind #sarcasm,yes,yes,yes
".@VodafoneIN Thank you so much Neha. 
  #sarcasm #tumsenahopayega #monday #lolwa",no,no,no
I don't have the energy coffee mug https://t.co/jAve9IyJJF #sarcasm #WitticismsRus #No_energy https://t.co/vxzHVQOYnC,no,no,no
I hate passive aggression. I don't want to point fingers but some people are too immature to just come out and say what they mean. #sarcasm,no,yes,yes
"1 bedroom, 1/2 bath, 700 Sq ft., $217,000. What a deal! #sarcasm #Austinhousing https://t.co/WFcXGTzEgx",yes,yes,yes
@antony_yus I love it when they do that.(#sarcasm),no,no,no
".@AmericanAir Yes, I'm sure the prices will go down in the next few hours. #sarcasm #pricegouging #greed #HurricaneMatthew",no,yes,yes
Looks like the only possible way! #worldpeace #shared #sarcasm https://t.co/juQcb8ueaM,no,yes,yes
"Hi, my name is Ricardo. According to some journalists I live in a tent and eat trees. :) #haitian #sarcasm",yes,yes,yes
@DanSlott the eloquence displayed by @noxiousgomez is a glowing tribute to the English language. #sarcasm,no,yes,yes
When U can't be originalðŸ˜œ#thoughts #video #relatable #sarcasm #comedy #ibelike #stoops #icant #origin... https://t.co/8EQDArQBef,no,no,no
@NBCNews SHOCKING. #sarcasm,no,no,no
When U can't think for yourselfðŸ˜œ#stealing #video #relatable #sarcasm #genius #yourewelcome #comedy #ibeli... https://t.co/9X1xZt6ZxK,no,no,no
@oneman00385 @madamthickness But I have privilege. ðŸ˜‰ #sarcasm,no,no,no
When you try to act like you don't careðŸ˜œ#music #singing #crazy #relatable #sarcasm #girlsbelike #idontca... https://t.co/UnFBynsuV5,yes,no,yes
"Tomorrow night I'll miss the Vice President debate, so sad #sarcasm",no,yes,yes
"I knew it!
  So @GUCCIFER_2 is a Trump advisor who was hired by Roger Stone to help Assange get asylum.
  #sarcasm https://t.co/10sS3PULyE",yes,yes,yes
"#TheVoice, #DWTS, or #TMZLIve. Goodness, whatever shall I watch? #sarcasm",no,no,yes
Now that's What you call #sarcasm!!! Pakistan will win any war against India https://t.co/UnwilHgWOh,yes,yes,yes
"Way to keep it classy, @NRA #sarcasm show some #decency https://t.co/hiGjgbIZDO",no,yes,yes
Sarcastic Association of #Cyclists Tshirt #sarcasm #funnyts https://t.co/3EuLUrKesi,no,no,no
"They only chew on babies if prevoked, but this is okay #sarcasm https://t.co/MFAOA3vg4Z #banpitbulls @Andrew_parsons1 #nlpoli #dangerousdogs",no,no,yes
Makes me feel so much better. #sarcasm https://t.co/Rd3fyvQs1U,no,no,yes
So glad they decided to schedule @Rangers post season home games during the day... #sarcasm #imsalty,yes,yes,no
"Man, so glad for the hope &amp; change #sarcasm [pic] #tcot #tgdn #PJNET #LNYHBT #ccot #RedNationRising #SGP https://t.co/zVCJr5pFm4",yes,yes,no
@RandPaul very diverse crowd there at #EKU #sarcasm,yes,yes,no
The D coffee mug https://t.co/G3cHoiC4cV #WitticismsRus #sarcasm #funnygift #Sun_coffee_mug https://t.co/OniCLwtZP0,no,no,no
@kworl you missed an opportunity to see one of the greatest men in American history speak? Shame! #sarcasm,yes,yes,yes
"@llake Thank you. ðŸ˜€ All is good, until more leaves start falling, then I'll get back to ya on how good it really is. Lol #sarcasm",yes,yes,yes
Let's celebrate Walsh for the extra point #doyourjob #sarcasm,yes,yes,no
Some people use #humor or #sarcasm as a #defensemechanism but the only defense mechanism I need is #karate,yes,no,yes
First my nose ring falls out so I can't put it back in and then my rabbit gives me a nasty scratch across my leg. Today was great. #sarcasm,yes,yes,yes
"@MaryNelsonOmaha Glad to see you've gotten a good start at removing that shitty tileâ€¦ oh, waitâ€¦ #sarcasm",yes,yes,yes
"@TonyPivetta But Congress, their friends and family made a killing and really...Isn't that all that matters? #sarcasm",yes,no,yes
@Bruins_Fatalist @PeaceLibLady @ebarbara12 @occupycorruptDC @kateloving @theinquisitr oh that's why she had the ambassador killed! #sarcasm,no,no,no
"If you don't understand the swing just yell ""approach"" and ""compete"" louder. #sarcasm",yes,yes,no
Elijah ballin out??? #Sarcasm,no,no,no
@eaglescentral you forgot to use #sarcasm,no,no,no
@veritasmn84 ðŸ˜‚ Childress was the goat ðŸ #sarcasm,no,no,no
Can this year get any better? #sarcasm My uncle died today.,yes,yes,yes
Shocking ðŸ‘€ #sarcasm https://t.co/LsVFoHMoSs,no,no,no
"Damn it, you're right! Letting your actions CAUSE an HIV outbreak is better for your state! It's not like AIDS canâ€¦ https://t.co/UPLdUpTmQe",yes,yes,yes
"@ABC wow, she is the hardest working woman ever! No, her daughter is!! #sarcasm #givemeabreak #lyingbitch #shouldbeinjail #crookedhillary",yes,yes,yes
@True_Underdog I shop at Walmart. #sarcasm,yes,yes,no
"Watching Netflix and waiting for a commercial to get up and do stuff 
  #fingerscrossed #sarcasm",yes,yes,yes
"Triple H marrying Stephanie guaranteed him a billion dollars and the chance to eventually run #WWE. Yes, terrible idea. #RAW #WWE #Sarcasm",no,yes,yes
We have a nice set of leaders #sarcasm https://t.co/0SPEvEDmHM,yes,yes,no
@johnkriesel can't wait until it matters. #sarcasm,yes,yes,no
@adilmomin786 @gregkoch1 I know..#sarcasm by then he was doing That's Incredible!,yes,yes,no
@decraustin wow sooooo exciting #sarcasm,yes,yes,no
"@josheidelson @Reuters For god's sake, please let those women kill their babies. Cmon Poland, you're better than that. #sarcasm",yes,yes,yes
"""Not enough white people"". I had the same thought when I saw Ironman, Avengers, Captain America, Thor, Guardians... #sarcasm #LukeCage",yes,yes,yes
"@WKRN That's not #sexist at all
  #sarcasm",no,no,no
"@JMKTV because Harlem culture has always been dominated by white people, obviously #sarcasm",no,no,no
Ummm.. I heard that @OBJ_3 is a good football player. Maybe he should get in the game. #sarcasm,yes,yes,no
Man I hope nobody tries to cash in their money in the bank briefcase #sarcasm #SusanGKomen #RAW,yes,yes,yes
@BirdsEye I just love when I get a package of broccoli and it turns out to be 90% stems. #LoveIt #Sarcasm #NotCool https://t.co/IXXIjzhk0J,yes,yes,yes
Odell Beckham called for taunting...I don't believe it. #sarcasm,yes,no,yes
Today can't get any better... #sarcasm,no,yes,yes
I'm glad @twitter has decided to show me tweets from people I don't even follow. #sarcasm,yes,yes,yes
"Just finished like my 15th book this month. Paperback, hardcover, and on wattpad. I'm on a roll. Don't judge I'm aâ€¦ https://t.co/jeD9uASrzV",yes,no,yes
@JustinTrudeau Good Work. #sarcasm.,no,no,no
Don't worry Titus O'Neil... That wasn't a boring promo at all. #sarcasm #wweraw,yes,yes,no
Thanks @TMobile for shutting off my phone data for using 1GB/10GB plan. It's so much fun to watch half an episode on Netflix #sarcasm,yes,yes,yes
"yes, because drones are meant to murder people you dislike. #sarcasm #criminal #disgusting https://t.co/PAEQoZZcMK",yes,yes,yes
"Hey it's Sami! I remember him, you had some pretty decent matches this year. #RAW #Sarcasm",yes,yes,yes
So when do the #WhiteSox name Jim Thomas or Paul Konerko their Bench Coach? #Sarcasm,no,no,no
Giants always THE BEST 3rd down play choices #sarcasm #theysuck,no,no,no
"Laying in bed, curled up in a bawl, crying and trying to throw up is exactly what I want to be doing... #sarcasm #ugh",yes,no,yes
@joelklatt can't possibly be true...no one from the GREAT AND MIGHTY SEC!?!? #sarcasm,no,no,no
And I'm sure you're looking forward to the new $.23 per gallon gas tax! #winning #sarcasm https://t.co/iN13Vn7Wvr,yes,no,yes
Just keep swimming coffee mug https://t.co/AmXcczrvKo #sarcasm #WitticismsRus #Gifts_for_her https://t.co/xi0jhIFaEB,no,no,no
Start the engraving now! Stanley Cup Champs. #Sarcasm https://t.co/6nCdOHhzlN,yes,yes,no
@macwfnz #Panthers season may be saved! Gettleman just signed WR Brenton Bersin. Hallelujah! #sarcasm,yes,yes,no
"Well looks like it'll be a while before I come out with a video thanks for breaking my computer with you're ""updates"" @Microsoft #sarcasm",yes,yes,yes
@MattWeaverSBN @A_S12 @NASCAR @RCRracing @mlbam Great. Now everything is going to look exactly the same. #sarcasm #golfclap,yes,yes,no
"Welp. Good job, Giants. #sarcasm #mnf",yes,yes,no
"@wikileaks announcement is at 3am ET. Yeah....3am...isn't that special? LOL
  Think Hillary will wake up at 3am to hear it? #sarcasm",yes,yes,yes
"Oh no. I disappointed somebody because my politics aren't representative of their own.
  
  I am *very* sad about this.
  
  9_9 #sarcasm",yes,yes,yes
@MattStephens quit fact checking! #sarcasm,yes,no,yes
"Kim Kardashian was tied up and robbed at gunpoint, but OMG that's so funny cause she had that sex tape once. ðŸ™„ #sarcasm #assualtisntfunny",yes,yes,yes
"@litfangrl well, geez then I might have a problem|! hahaha #sarcasm #whiteasaghost",no,yes,yes
"Terrible that the ""dishonest media"" can use the candidate's own words like this. #sarcasm https://t.co/HMuqFRP37M",yes,yes,yes
@USAforTrump2016 looks like another HUGE crowd for Hillary. #sarcasm ðŸ˜‚. ðŸš‚ðŸ’¨ðŸ’¨ðŸ‡ºðŸ‡¸ðŸ‡ºðŸ‡¸ðŸ‡ºðŸ‡¸,yes,yes,yes
"Way to make your new Cruiserweight Champion look like strong, @WWE. #RAW #sarcasm #stupid #5050booking",yes,yes,no
"@thedodgerdude everyone starts off with a 
  .000 batting average in the post season. Delete this before other teams see it #sarcasm",yes,no,yes
Nothing makes your 1st-ever cruiserweight champion look strong like having him tap out to a sleeper hold. #WWE #RAW #RAWLosAngeles #sarcasm,yes,no,yes
"Can't we just drone Hillary &amp; Obama?
  Just askin for a friend....
  #sarcasm",yes,no,yes
"@PoliceOne @fred_burton Wouldn't recommend charges but sells out America's police force.... #WellDone
  
  #sarcasm",yes,yes,no
Yes!!!!! Best day ever!!!! #sarcasm https://t.co/qk80HxKCfo,yes,yes,yes
"@BSmithFlyers @davegisaac OH MY WORD, WHAT SAVAGES!
  
  #sarcasm",yes,yes,yes
All right! 4 hours of Gruden! WHOOOO! #sarcasm,yes,yes,no
My Fantasy Football team sucks about like @Daddysocks19 rebuttal to my unposted blog. #HowsMyTone #TooFar #Sarcasm #Honey,no,no,no
"#carbontax imposed on by the Feds? Democracy or dictatorship 
  
  Did I miss something? #rhetoricalquestion #sarcasm",yes,no,yes
@firefire100 maybe she was scared by the noise? #sarcasm ;),yes,yes,no
@geraldcelente But the US government must get rid of so called foreign dictatorsðŸ˜ðŸ˜ðŸ˜ #sarcasm,yes,yes,no
@FlyEIA 47 min to get my bag on the carousel . Give yourselves a pay on the back for that fantastic service #yeg #sarcasm,yes,no,yes
great screen off the ball.... #sarcasm https://t.co/EJQyFhcNz3,no,no,no
This feud is stale. And this segment is dreadful. Great start #RAW #sarcasm,yes,yes,no
"Oh joy, #RomanReigns is calling himself ""The Guy"" again! #sarcasm #RAW",yes,yes,no
Tomorrow will be a slow news day and the Assange/@wikileaks releases will be the msm headline story.. #sarcasm #NeverTrumpOrHillary #OBEY,yes,no,yes
@WrestleRumors yeah I completely read of the #sarcasm part oops,no,no,no
Give up porn for you T-shirt https://t.co/LRIn9n67nF #sarcasm #funnygift #Mens_tee_shirt https://t.co/qZ41ai95jv,yes,no,yes
Might as well get #RAW off to the best start possible. With the most popular superstar on the roster. #WWE #Sarcasm,yes,yes,no
but damn those sjw trying to bring BLM to Aus are just looking for attention #sarcasm https://t.co/Q2MP9IrSbY,no,no,no
It sure was refreshing to go into the @HUBatUW today and see all the food prices have gone up ðŸ˜Š #sarcasm,yes,yes,no
@sprintcare Hey thanks for getting back to me. #sarcasm,no,no,no
Trump is just brimming with empathy and compassion. #sarcasm #deplorable https://t.co/N2pNqOen0d,no,yes,yes
Happy national boyfriend day to myself it's been such a great day got myself Starbucks and Panera life is great â¤ï¸ #sarcasm,yes,yes,yes
"yeah, I'm sure the people of Ecuador would LOVE us to drone strike their London embassy #Sarcasm ;) @guntrust",yes,yes,yes
@Halestormsports #Sarcasm President Trump said ALL of Ford is moving down here so it must be true..,yes,yes,yes
"It's my favorite thing when people with zero marketing experience or education tell me how to do my job.
  #Sarcasm
  #ShutYoPieHole",yes,yes,yes
@Mayne1Carrie corruption has a hard time exposing itself. The Justice Department was real interested in the truth. #sarcasm,yes,yes,yes
You mean the person who stands up first doesn't get to leave first? But what if I'm really important? #sarcasm https://t.co/6siXAw9Hiw,yes,yes,yes
Hayfever in full swing today...wonderful. #sarcasm,yes,yes,yes
Oh no. Now he has to interact with people in person. What's he gonna do? #sarcasm #KidsHaveItEasierTheseDays https://t.co/foLAhkbk1X,yes,yes,yes
@realliquidsaint Ignorance is awesome. #sarcasm,yes,yes,yes
That was a stretch! Amazing title! #sarcasm #TheBatman https://t.co/Z2MXoli839,yes,yes,yes
"For sure...lol 
  .
  .
  #sarcasm #me #instagram https://t.co/QAOYIuImlm",no,yes,yes
"Interesting note only @foxnews really seems to be pushing WikiLeaks story. Russian meddling in US election, good job @foxTV #SARCASM",yes,yes,yes
@markgurman @theloop thats great #sarcasm,no,no,no
So much for that train ride! ðŸ˜… #TheGirlOnTheTrain #sarcasm https://t.co/dXHTDDiY8T,no,no,no
"@WwwCpclang @slone I enjoy being asked if I'm depressed, just to have an allergy medication rescripted. #sarcasm",yes,yes,yes
Trying to send a Quickpay transfer from @Chase to @BankofAmerica . Wont accept because email is not registered. Great job guys! #sarcasm,yes,yes,yes
@YourAnonNews but on the good side Monsanto keeps selling their Nicotinoides/pesticides for good money #sarcasm,yes,yes,no
".@faizsays Look forward to talking about lights, tiles and bullhorns! #WMATA #ImportantThings #sarcasm",yes,yes,no
This times out so well for my trip this week....#grumble #sarcasm cc: @JeffGribble3 https://t.co/zbieyvfaqo,no,no,no
Need more yarn coffee mug https://t.co/6NctwVJOYW #funnygift #sarcasm #Statement_mug https://t.co/sr42Zhxfs2,no,no,no
@1973_Movement @Steven_Swenson @Rangersfan66 @a_widener it was a compliment. Your a genius in properly defining a gun. #sarcasm,yes,yes,yes
Best part about living at home is that my mom always has a Hallmark movie on the television ðŸ™ƒðŸ™ƒðŸ™ƒ #sarcasm #socheesy,yes,yes,yes
"M: Babe, Starbucks controls your life. 
  Me: yeah well nobody asked you boo boo. 
  #marriage #sarcasm #starbuckslover",yes,yes,yes
Naw she wouldn't throw rocks while living in a crystal palace #Sarcasm https://t.co/bQd4Av1kZR,yes,yes,yes
My day has been great........#sarcasm https://t.co/W5EmEFEQn5,no,yes,yes
Wow. That's true support right there #sarcasm #VoteTrump #TrumpTrain https://t.co/iYzsv1Gv67,yes,yes,yes
@realDonaldTrump @CNN Thank you. Very important news and statement from our potential #POTUS You are fit to lead. #Sarcasm #DumpTrump,yes,yes,no
@oche_balboa He won an unranked exhibition though Oche? ;) #Sarcasm,yes,yes,no
"Q- What is between Me and iPhone7?
  A- ""Aukaat""
  
  #Apple #iPhone7 #iPhone7launch #sarcasm",yes,yes,yes
"Folks, hotel wifi is like the best wifi ever. #sarcasm",yes,yes,yes
"@danconnolly2016 @BMoreBaseball Dan, unless we start Gausman on 2 days rest we are Doooomed. #fairweatherosfans #sarcasm",yes,yes,no
"#Dresden (Federal country #Sachsen has finally messed up the reputation of all Germany. 
  Congratulations. #sarcasm https://t.co/pOJ3ng5UyL",yes,yes,no
How dare they?!?!?!? #Sarcasm #PeopleSuck https://t.co/EV7Gu2XKPF,yes,no,yes
"Nothing but bashing Trump tweets from him, I'm so shocked! #sarcasm #SleazyGang https://t.co/sbqNqu0Ubi",yes,yes,yes
@alimomen @alaskarebel @KatyTurNBC what? Doesn't everyone have $1 bill to loose? Isn't that that business acumen? #sarcasm,yes,yes,yes
@basedmattforney @tritono0 @ramzpaul @YouTube the Muslim refugees share their values... #sarcasm,yes,no,yes
WHEW! Thank goodness he would be our Commander in Chief #sarcasm #fuckthisguy #supportourveterans https://t.co/Ycj1HJvxyU,yes,yes,yes
"so many progressives are flipping over to her side, you got to tag it #sarcasm if you intended so... :) @HAGOODMANAUTHOR @IanMolony",no,yes,yes
"Why is it called #greypoupon if its not grey but mustard yellowy color?
  
  #sarcasm https://t.co/B9uTwkkEqX",yes,yes,yes
"Wow, @NatGeo, you're really getting burned by these commonplace assheads. #sarcasm",yes,yes,yes
